# {"env_id": "Acrobot-v1", "t_start": 1590515170.339161} 
r,l,t
-500.0,500,2.190527
-500.0,500,2.516031
-500.0,500,3.679428
-500.0,500,4.855687
-500.0,500,5.999831
-500.0,500,7.156275
-500.0,500,8.286757
-500.0,500,9.552112
-500.0,500,10.684501
-500.0,500,11.782913
-500.0,500,12.900665
-500.0,500,14.01718
-500.0,500,15.144786
-500.0,500,16.28334
-500.0,500,17.421656
-500.0,500,18.546656
-500.0,500,19.699055
-500.0,500,20.841827
-500.0,500,21.991942
-500.0,500,23.257663
-500.0,500,24.451917
-301.0,302,25.18456
-500.0,500,26.40913
-500.0,500,27.60716
-500.0,500,28.862506
-500.0,500,30.147891
-500.0,500,31.532358
-500.0,500,32.783652
-500.0,500,34.215591
-313.0,314,35.025383
-500.0,500,36.237457
-500.0,500,37.447739
-500.0,500,38.755608
-500.0,500,40.108091
-500.0,500,41.352861
-500.0,500,42.754943
-370.0,371,43.757991
-500.0,500,45.144631
-359.0,360,46.169672
-335.0,336,47.071116
-500.0,500,48.289846
-465.0,466,49.527452
-500.0,500,50.771914
-500.0,500,52.216785
-338.0,339,53.25834
-500.0,500,54.745166
-339.0,340,55.870777
-420.0,421,57.254868
-298.0,299,58.141659
-330.0,331,59.09764
-209.0,210,59.691326
-332.0,333,60.671129
-236.0,237,61.432088
-310.0,311,62.401415
-281.0,282,63.267011
-323.0,324,64.295205
-360.0,361,65.34943
-288.0,289,66.255531
-216.0,217,66.994362
-342.0,343,68.056804
-483.0,484,69.532501
-194.0,195,70.177436
-299.0,300,71.159477
-401.0,402,72.462721
-352.0,353,73.531399
-247.0,248,74.267047
-310.0,311,75.22361
-360.0,361,76.261898
-322.0,323,77.275467
-228.0,229,78.045437
-251.0,252,78.860559
-395.0,396,80.119277
-203.0,204,80.756874
-275.0,276,81.602605
-179.0,180,82.19702
-286.0,287,83.180032
-225.0,226,83.810539
-178.0,179,84.40821
-239.0,240,85.110116
-308.0,309,86.136997
-258.0,259,86.981033
-148.0,149,87.399663
-186.0,187,88.031073
-249.0,250,88.799667
-299.0,300,89.630843
-216.0,217,90.329684
-172.0,173,90.965958
-294.0,295,92.175201
-191.0,192,92.839577
-248.0,249,93.780748
-136.0,137,94.269908
-202.0,203,95.03991
-195.0,196,95.739936
-247.0,248,96.628785
-216.0,217,97.375242
-374.0,375,98.750382
-259.0,260,99.678166
-205.0,206,100.431356
-309.0,310,101.55933
-222.0,223,102.394709
-190.0,191,103.138094
-167.0,168,103.746475
-105.0,106,104.140923
-194.0,195,104.846079
-192.0,193,105.526344
-160.0,161,106.117764
-322.0,323,107.297914
-295.0,296,108.381008
-230.0,231,109.238424
-200.0,201,109.99567
-233.0,234,110.878557
-378.0,379,112.325015
-238.0,239,113.214706
-159.0,160,113.82619
-138.0,139,114.315848
-300.0,301,115.496912
-194.0,195,116.186402
-163.0,164,116.700436
-163.0,164,117.324603
-165.0,166,117.872812
-209.0,210,118.638716
-187.0,188,119.334818
-234.0,235,120.192469
-144.0,145,120.74179
-163.0,164,121.367002
-250.0,251,122.27086
-196.0,197,123.125342
-178.0,179,123.823
-214.0,215,124.611267
-202.0,203,125.350573
-136.0,137,125.845032
-176.0,177,126.487741
-152.0,153,127.0243
-248.0,249,127.954349
-185.0,186,128.650311
-171.0,172,129.260971
-165.0,166,129.868989
-174.0,175,130.528168
-158.0,159,131.099732
-170.0,171,131.716463
-172.0,173,132.302585
-161.0,162,132.893856
-184.0,185,133.562897
-196.0,197,134.318997
-209.0,210,135.067625
-201.0,202,135.836027
-228.0,229,136.703384
-102.0,103,137.104947
-196.0,197,137.8274
-130.0,131,138.3172
-151.0,152,138.878014
-206.0,207,139.658442
-145.0,146,140.203774
-165.0,166,140.804559
-132.0,133,141.278039
-188.0,189,141.949903
-120.0,121,142.398423
-192.0,193,143.133566
-162.0,163,143.744694
-158.0,159,144.33917
-306.0,307,145.499136
-134.0,135,146.002021
-190.0,191,146.696724
-116.0,117,147.123605
-207.0,208,147.929886
-118.0,119,148.404535
-144.0,145,148.944818
-100.0,101,149.29951
-152.0,153,149.829924
-125.0,126,150.317961
-107.0,108,150.727206
-134.0,135,151.239599
-134.0,135,151.78816
-226.0,227,152.603521
-184.0,185,153.269826
-179.0,180,153.936253
-187.0,188,154.616222
-159.0,160,155.201032
-142.0,143,155.734675
-152.0,153,156.283917
-143.0,144,156.817705
-121.0,122,157.295803
-154.0,155,157.851579
-177.0,178,158.543957
-191.0,192,159.270201
-132.0,133,159.759129
-125.0,126,160.214276
-149.0,150,160.765638
-221.0,222,161.575278
-195.0,196,162.314621
-115.0,116,162.749499
-133.0,134,163.218952
-197.0,198,163.979622
-104.0,105,164.331937
-135.0,136,164.86637
-142.0,143,165.409726
-156.0,157,166.007843
-163.0,164,166.606581
-179.0,180,167.273221
-260.0,261,168.25493
-131.0,132,168.74073
-193.0,194,169.444594
-171.0,172,170.120348
-139.0,140,170.637852
-118.0,119,171.090503
