% time spent exploring,episodes,mean 100 episode reward,steps
64,100,-367.7,36463
46,200,-176.5,54209
33,300,-134.1,67723
22,400,-116.2,79441
12,500,-100.3,89569
3,600,-86.6,98327
2,700,-85.2,106951
2,800,-82.0,115252
2,900,-77.5,123098
2,1000,-75.9,130787
2,1100,-79.0,138782
2,1200,-84.4,147322
2,1300,-73.0,154723
2,1400,-72.8,162107
2,1500,-89.7,171175
2,1600,-77.3,179006
2,1700,-74.6,186563
2,1800,-75.4,194203
2,1900,-70.0,201305
2,2000,-71.3,208534
2,2100,-70.8,215715
2,2200,-73.4,223153
2,2300,-71.9,230442
2,2400,-69.2,237457
2,2500,-72.0,244757
2,2600,-71.2,251975
2,2700,-68.8,258953
2,2800,-81.5,267200
2,2900,-72.4,274536
2,3000,-70.3,281668
2,3100,-68.6,288628
2,3200,-68.1,295538
2,3300,-70.1,302649
2,3400,-70.1,309763
2,3500,-65.5,316415
2,3600,-70.9,323601
2,3700,-67.0,330406
2,3800,-65.7,337074
2,3900,-66.4,343815
2,4000,-65.4,350453
2,4100,-66.9,357247
2,4200,-66.2,363966
2,4300,-71.2,371189
2,4400,-68.9,378175
2,4500,-68.3,385104
2,4600,-67.4,391948
2,4700,-64.8,398528
2,4800,-64.4,405063
2,4900,-64.5,411616
2,5000,-65.7,418289
2,5100,-65.6,424944
2,5200,-69.4,431985
2,5300,-66.7,438755
2,5400,-66.8,445534
2,5500,-65.3,452168
2,5600,-66.0,458867
2,5700,-65.0,465465
2,5800,-64.6,472027
2,5900,-65.4,478662
2,6000,-64.9,485254
2,6100,-67.3,492084
2,6200,-69.3,499113
2,6300,-65.1,505726
2,6400,-65.9,512414
2,6500,-66.3,519143
2,6600,-67.3,525977
2,6700,-64.9,532565
2,6800,-64.8,539147
2,6900,-64.6,545711
2,7000,-70.0,552810
2,7100,-67.0,559613
2,7200,-67.5,566465
2,7300,-65.8,573147
2,7400,-65.8,579825
2,7500,-65.4,586470
2,7600,-66.8,593253
2,7700,-65.0,599853
2,7800,-65.7,606519
2,7900,-65.2,613136
2,8000,-66.9,619928
2,8100,-64.9,626517
2,8200,-66.8,633299
2,8300,-64.1,639813
2,8400,-67.0,646610
2,8500,-64.2,653128
2,8600,-65.2,659744
2,8700,-64.6,666306
2,8800,-66.6,673066
2,8900,-65.6,679728
2,9000,-64.6,686290
2,9100,-67.1,693102
2,9200,-67.5,699950
2,9300,-64.6,706511
2,9400,-69.0,713509
2,9500,-68.9,720496
2,9600,-65.6,727159
2,9700,-67.1,733969
2,9800,-66.3,740695
2,9900,-64.3,747227
2,10000,-66.9,754017
2,10100,-67.9,760907
2,10200,-67.6,767771
2,10300,-66.5,774522
2,10400,-67.0,781320
2,10500,-66.6,788078
2,10600,-65.4,794718
2,10700,-65.7,801389
2,10800,-65.5,808043
2,10900,-65.2,814667
2,11000,-68.2,821588
2,11100,-65.1,828202
2,11200,-63.8,834677
2,11300,-63.6,841132
2,11400,-66.4,847867
2,11500,-64.8,854450
2,11600,-64.5,860997
2,11700,-65.6,867660
2,11800,-63.3,874092
2,11900,-65.6,880752
2,12000,-65.4,887397
2,12100,-65.1,894009
2,12200,-66.4,900745
2,12300,-66.6,907501
2,12400,-64.9,914091
2,12500,-68.2,921012
2,12600,-64.2,927535
2,12700,-64.6,934099
2,12800,-65.7,940765
2,12900,-65.5,947419
2,13000,-67.7,954285
2,13100,-66.2,961007
2,13200,-64.1,967515
2,13300,-65.2,974139
2,13400,-65.1,980753
2,13500,-64.5,987300
2,13600,-64.8,993875
