# {"t_start": 1593733203.6020372, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,13.717962
-500.0,500,15.301159
-500.0,500,20.492179
-500.0,500,24.85084
-500.0,500,29.232163
-500.0,500,33.653228
-500.0,500,38.20873
-500.0,500,42.655817
-500.0,500,47.274351
-500.0,500,51.721772
-500.0,500,55.553431
-500.0,500,59.945566
-500.0,500,64.345175
-500.0,500,68.427
-500.0,500,72.773591
-500.0,500,77.314244
-443.0,444,81.306888
-435.0,436,85.077363
-500.0,500,89.678134
-497.0,498,94.256363
-336.0,337,96.885275
-441.0,442,100.917707
-270.0,271,103.369271
-266.0,267,105.85217
-246.0,247,108.207745
-343.0,344,111.294579
-292.0,293,113.764445
-277.0,278,116.456009
-413.0,414,119.931633
-283.0,284,122.524423
-500.0,500,126.421546
-500.0,500,130.596724
-416.0,417,134.034821
-375.0,376,137.444557
-322.0,323,140.200734
-165.0,166,141.558764
-168.0,169,142.953622
-462.0,463,147.159767
-165.0,166,148.823746
-245.0,246,151.036705
-314.0,315,153.884223
-306.0,307,156.903626
-500.0,500,160.577158
-500.0,500,164.917579
-500.0,500,169.29234
-500.0,500,174.164001
-500.0,500,178.536052
-238.0,239,180.697535
-235.0,236,182.60159
-368.0,369,186.100577
-212.0,213,188.094671
-255.0,256,190.257911
-353.0,354,193.593411
-165.0,166,195.191765
-199.0,200,197.077545
-269.0,270,199.498708
-500.0,500,203.711526
-500.0,500,208.59162
-179.0,180,210.114655
-167.0,168,211.39281
-180.0,181,213.136486
-205.0,206,214.872135
-267.0,268,217.202207
-390.0,391,220.74034
-199.0,200,222.776972
-157.0,158,224.197724
-141.0,142,225.43497
-192.0,193,227.399228
-289.0,290,230.00498
-132.0,133,231.170877
-139.0,140,232.286548
-110.0,111,233.304484
-95.0,96,234.187752
-101.0,102,235.175823
-97.0,98,235.927452
-109.0,110,236.905069
-154.0,155,238.164832
-142.0,143,239.365629
-122.0,123,240.529091
-458.0,459,244.505522
-246.0,247,246.806489
-102.0,103,247.638789
-217.0,218,249.572054
-184.0,185,251.213188
-177.0,178,252.600481
-349.0,350,255.541056
-101.0,102,256.455615
-138.0,139,257.749287
-176.0,177,259.460089
-78.0,79,260.025594
-105.0,106,260.998823
-83.0,84,261.808266
-80.0,81,262.436965
-76.0,77,263.077271
-71.0,72,263.771505
-101.0,102,264.651123
-184.0,185,266.314617
-500.0,500,270.867959
-500.0,500,275.377405
-500.0,500,280.345408
-500.0,500,284.785168
-291.0,292,287.467884
-101.0,102,288.486072
-104.0,105,289.583753
-125.0,126,290.785971
-139.0,140,292.169907
-92.0,93,293.046536
-125.0,126,294.05972
-77.0,78,294.677438
-186.0,187,296.514558
-175.0,176,298.213244
-275.0,276,300.963008
-227.0,228,303.115778
-244.0,245,305.360985
-238.0,239,307.331195
-500.0,500,311.631031
-475.0,476,315.904446
-124.0,125,317.008881
-205.0,206,318.786385
-74.0,75,319.442957
-107.0,108,320.489118
-75.0,76,321.006557
-78.0,79,321.628603
-98.0,99,322.472901
-72.0,73,323.191782
-305.0,306,325.784512
-106.0,107,326.625423
-105.0,106,327.558439
-484.0,485,332.072827
-150.0,151,333.269128
-166.0,167,334.669586
-79.0,80,335.403879
-421.0,422,338.853333
-220.0,221,340.740093
-93.0,94,341.62612
-166.0,167,343.082199
-177.0,178,344.553467
-90.0,91,345.426614
-155.0,156,346.733633
-62.0,63,347.261438
-77.0,78,347.849956
-107.0,108,348.968882
-62.0,63,349.563044
-155.0,156,351.273506
-70.0,71,351.860385
-62.0,63,352.465457
-86.0,87,353.294237
-93.0,94,354.19704
-75.0,76,354.902955
-95.0,96,355.79531
-63.0,64,356.443242
-83.0,84,357.238
-71.0,72,357.89763
-90.0,91,358.757728
-109.0,110,359.629184
-91.0,92,360.578082
-63.0,64,361.167183
-81.0,82,361.908879
-87.0,88,362.780576
-109.0,110,363.901716
-71.0,72,364.4034
-93.0,94,365.210965
