% time spent exploring,episodes,mean 100 episode reward,steps
17,100,-253.6,25188
2,200,-129.8,38260
2,300,-88.2,47183
2,400,-80.4,55324
2,500,-77.8,63204
2,600,-76.5,70950
2,700,-76.4,78694
2,800,-72.8,86069
2,900,-71.0,93265
2,1000,-70.6,100430
2,1100,-71.8,107706
2,1200,-69.2,114724
2,1300,-67.0,121524
2,1400,-66.7,128295
2,1500,-66.0,134994
2,1600,-64.3,141521
2,1700,-66.3,148247
2,1800,-67.2,155063
2,1900,-65.3,161695
2,2000,-67.1,168501
2,2100,-64.5,175048
2,2200,-65.8,181733
2,2300,-65.2,188352
2,2400,-66.4,195089
2,2500,-64.8,201667
2,2600,-64.5,208213
2,2700,-64.6,214773
2,2800,-64.9,221364
2,2900,-67.1,228171
2,3000,-67.1,234983
2,3100,-64.4,241520
2,3200,-65.3,248150
2,3300,-65.0,254746
2,3400,-67.2,261566
2,3500,-65.7,268232
2,3600,-65.8,274917
2,3700,-64.5,281463
2,3800,-64.8,288039
2,3900,-65.1,294653
