# {"t_start": 1593795156.53912, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,20.116722
-500.0,500,21.432664
-500.0,500,46.070923
-405.0,406,65.025506
-500.0,500,88.477317
-500.0,500,111.193008
-500.0,500,134.663713
-500.0,500,156.516843
-500.0,500,179.191257
-500.0,500,202.276317
-500.0,500,226.040874
-500.0,500,248.820771
-500.0,500,271.314279
-248.0,249,282.917568
-443.0,444,303.881075
-384.0,385,320.986794
-500.0,500,343.796254
-500.0,500,365.885297
-500.0,500,388.839724
-500.0,500,411.576273
-500.0,500,434.17074
-500.0,500,456.378833
-500.0,500,480.522034
-500.0,500,503.815286
-500.0,500,526.741984
-500.0,500,549.282871
-500.0,500,571.888003
-500.0,500,595.269586
-500.0,500,618.690207
-500.0,500,641.495019
-500.0,500,665.483429
-500.0,500,688.86216
-500.0,500,711.439586
-500.0,500,735.148527
-404.0,405,753.834199
-500.0,500,776.32339
-500.0,500,799.515553
-500.0,500,822.787189
-500.0,500,846.863367
-363.0,364,863.546186
-500.0,500,886.612688
-500.0,500,909.584368
-500.0,500,933.681473
-500.0,500,956.876677
-500.0,500,980.90904
-258.0,259,992.132261
-500.0,500,1015.090289
-500.0,500,1038.844203
-500.0,500,1062.447224
-500.0,500,1085.142716
-500.0,500,1109.6492
-182.0,183,1118.427644
-383.0,384,1137.120783
-500.0,500,1160.242369
-500.0,500,1182.977212
-500.0,500,1206.10978
-500.0,500,1228.266361
-500.0,500,1250.594313
-500.0,500,1273.42892
-500.0,500,1296.396831
-500.0,500,1319.229214
-500.0,500,1342.533798
-500.0,500,1365.02486
-500.0,500,1388.55029
-500.0,500,1411.706506
-500.0,500,1434.4158
-500.0,500,1456.342193
-500.0,500,1478.920092
-500.0,500,1501.751107
-500.0,500,1524.72837
-500.0,500,1547.513291
-500.0,500,1570.815727
-500.0,500,1592.965707
-500.0,500,1615.05498
-500.0,500,1638.025209
-303.0,304,1651.474409
-500.0,500,1675.42807
-500.0,500,1698.648292
-500.0,500,1722.161355
-454.0,455,1743.665829
-500.0,500,1765.887354
-235.0,236,1776.144591
-500.0,500,1799.468692
-470.0,471,1820.371275
-384.0,385,1836.465491
-500.0,500,1859.986305
-500.0,500,1883.127114
-500.0,500,1906.292237
-500.0,500,1928.920747
-500.0,500,1952.451981
-500.0,500,1975.182201
-500.0,500,1998.569043
-500.0,500,2022.580047
-500.0,500,2045.690572
-500.0,500,2069.302094
-500.0,500,2092.639605
-500.0,500,2116.94444
-500.0,500,2140.043801
-500.0,500,2163.475266
-500.0,500,2185.778433
-500.0,500,2208.615958
-500.0,500,2230.605448
-500.0,500,2254.128583
-500.0,500,2275.293804
-500.0,500,2299.130058
-500.0,500,2323.582549
-500.0,500,2347.607342
-500.0,500,2370.995954
-467.0,468,2392.06635
-500.0,500,2416.111214
-500.0,500,2438.35658
-500.0,500,2462.847883
-500.0,500,2484.517977
-500.0,500,2507.772912
