% time spent exploring,episodes,mean 100 episode reward,steps
2,100,-336.4,33373
2,200,-248.3,58294
2,300,-237.2,82105
2,400,-206.6,102850
2,500,-160.8,119029
2,600,-139.8,133109
2,700,-88.4,142053
2,800,-111.3,153285
2,900,-116.6,165042
2,1000,-101.0,175241
2,1100,-88.9,184232
2,1200,-87.8,193113
2,1300,-85.6,201771
2,1400,-84.9,210361
2,1500,-99.5,220414
2,1600,-82.0,228719
2,1700,-93.6,238178
2,1800,-102.6,248534
2,1900,-116.5,260280
2,2000,-84.0,268785
2,2100,-127.9,281673
2,2200,-102.2,291993
