% time spent exploring,episodes,mean 100 episode reward,steps
97,100,22.6,2232
95,200,23.0,4537
93,300,25.7,7104
90,400,24.4,9540
88,500,21.3,11668
86,600,23.6,14027
83,700,25.8,16605
81,800,24.9,19097
79,900,22.3,21324
76,1000,27.5,24075
73,1100,30.6,27139
69,1200,35.4,30676
67,1300,25.0,33175
65,1400,21.5,35322
63,1500,22.8,37597
60,1600,26.8,40278
57,1700,33.3,43608
54,1800,27.1,46319
51,1900,30.4,49364
46,2000,53.3,54691
41,2100,48.7,59559
39,2200,26.6,62221
35,2300,38.8,66105
30,2400,51.8,71288
27,2500,25.9,73878
18,2600,92.1,83089
9,2700,92.6,92349
2,2800,70.0,99346
2,2900,228.1,122157
2,3000,163.6,138515
2,3100,83.9,146905
2,3200,131.6,160068
2,3300,178.0,177865
2,3400,27.9,180651
2,3500,66.7,187323
2,3600,182.7,205594
2,3700,178.4,223436
2,3800,413.4,264774
2,3900,220.7,286841
2,4000,346.1,321449
2,4100,307.7,352223
2,4200,165.7,368793
2,4300,222.9,391085
2,4400,105.2,401603
2,4500,249.9,426595
2,4600,148.4,441432
2,4700,99.4,451372
2,4800,232.1,474578
2,4900,127.0,487283
2,5000,77.1,494991
2,5100,89.4,503928
2,5200,117.6,515686
2,5300,322.0,547881
2,5400,166.6,564543
2,5500,359.7,600516
2,5600,138.2,614331
2,5700,135.2,627854
2,5800,401.3,667981
2,5900,158.7,683847
2,6000,145.5,698401
2,6100,171.8,715580
2,6200,187.3,734312
2,6300,150.9,749398
2,6400,123.8,761781
2,6500,96.6,771438
2,6600,182.8,789714
2,6700,139.0,803614
2,6800,37.5,807362
2,6900,23.7,809732
2,7000,40.9,813820
2,7100,68.4,820664
2,7200,349.6,855626
2,7300,171.3,872760
2,7400,41.0,876861
2,7500,36.5,880508
2,7600,24.9,882997
2,7700,20.3,885030
2,7800,18.5,886879
2,7900,27.2,889597
2,8000,16.5,891246
2,8100,21.3,893380
2,8200,192.7,912652
2,8300,339.3,946583
2,8400,57.4,952322
2,8500,31.1,955434
2,8600,26.8,958114
2,8700,19.3,960043
2,8800,19.6,962001
2,8900,19.5,963951
2,9000,17.5,965703
2,9100,49.2,970619
2,9200,60.7,976691
2,9300,187.0,995390
