% time spent exploring,episodes,mean 100 episode reward,steps
92,100,22.1,2183
84,200,26.4,4828
75,300,26.7,7495
66,400,26.7,10167
56,500,31.2,13285
40,600,48.6,18149
27,700,40.7,22217
9,800,53.6,27575
2,900,90.2,36600
2,1000,129.6,49560
2,1100,115.2,61076
2,1200,110.6,72137
2,1300,57.7,77911
2,1400,190.2,96931
2,1500,143.3,111258
2,1600,137.2,124974
2,1700,105.8,135549
2,1800,191.6,154706
2,1900,138.9,168598
2,2000,190.2,187622
2,2100,160.8,203697
2,2200,191.5,222844
2,2300,194.5,242290
2,2400,183.3,260622
2,2500,175.9,278212
2,2600,186.6,296868
