# {"t_start": 1599247466.8544893, "env_id": "CartPole-v0"} 
r,l,t
14.0,14,20.777818
15.0,15,20.82894
12.0,12,20.862804
18.0,18,20.91704
33.0,33,21.028392
38.0,38,21.150622
13.0,13,21.187002
12.0,12,21.226027
32.0,32,21.323456
31.0,31,21.418489
17.0,17,21.477318
11.0,11,21.507992
34.0,34,21.621736
19.0,19,21.69412
25.0,25,21.796891
44.0,44,21.974391
15.0,15,22.042141
19.0,19,22.115477
16.0,16,22.175376
20.0,20,22.254183
22.0,22,22.352369
45.0,45,22.496388
13.0,13,22.525511
12.0,12,22.557566
9.0,9,22.582573
15.0,15,22.621389
41.0,41,22.725399
25.0,25,22.79082
25.0,25,22.854749
32.0,32,22.95012
20.0,20,23.017198
53.0,53,23.151272
13.0,13,23.188516
13.0,13,23.221068
11.0,11,23.249755
32.0,32,23.331065
12.0,12,23.364832
15.0,15,23.403039
21.0,21,23.460356
10.0,10,23.486311
52.0,52,23.672827
18.0,18,23.732291
14.0,14,23.783524
14.0,14,23.833599
12.0,12,23.878023
16.0,16,24.805894
39.0,39,28.794511
22.0,22,31.002592
41.0,41,35.263274
21.0,21,37.446681
16.0,16,39.227957
17.0,17,41.013781
12.0,12,42.277459
24.0,24,44.919209
14.0,14,46.457166
37.0,37,50.371353
20.0,20,52.407918
43.0,43,56.809048
20.0,20,58.937828
13.0,13,60.451041
18.0,18,62.311435
22.0,22,64.600417
25.0,25,67.233511
13.0,13,68.597608
25.0,25,71.538112
21.0,21,73.703693
30.0,30,76.726908
40.0,40,81.301265
14.0,14,82.78194
38.0,38,86.64998
14.0,14,88.153822
15.0,15,89.656546
31.0,31,92.484498
55.0,55,97.816505
14.0,14,99.221707
18.0,18,100.964818
65.0,65,106.898594
17.0,17,108.503984
11.0,11,109.491286
14.0,14,110.673038
14.0,14,111.873517
17.0,17,113.210775
33.0,33,116.026877
12.0,12,117.098301
45.0,45,121.239966
15.0,15,122.720291
49.0,49,127.58479
22.0,22,129.680085
13.0,13,130.915036
16.0,16,132.369313
28.0,28,135.299196
19.0,19,136.805951
15.0,15,138.166512
14.0,14,139.608063
27.0,27,142.180359
18.0,18,143.823408
11.0,11,144.720767
18.0,18,146.280818
21.0,21,148.140334
15.0,15,149.500241
27.0,27,151.913948
53.0,53,156.348099
66.0,66,162.525154
15.0,15,163.795147
26.0,26,166.051475
14.0,14,167.144152
42.0,42,170.36686
10.0,10,170.888712
33.0,33,173.477298
12.0,12,174.240127
11.0,11,174.972116
45.0,45,178.135613
12.0,12,178.82638
22.0,22,180.521208
13.0,13,181.584911
27.0,27,183.568056
13.0,13,184.442042
44.0,44,187.178742
31.0,31,188.600287
34.0,34,190.133354
19.0,19,191.031523
30.0,30,192.778862
44.0,44,195.078058
31.0,31,196.768166
17.0,17,197.807414
82.0,82,203.089814
105.0,105,209.675977
16.0,16,210.710189
23.0,23,212.283781
55.0,55,216.253736
23.0,23,217.916297
14.0,14,218.839301
27.0,27,220.512277
46.0,46,223.528712
26.0,26,224.885945
13.0,13,225.707481
18.0,18,226.751467
17.0,17,227.68211
18.0,18,229.02444
12.0,12,229.938882
23.0,23,231.634214
12.0,12,232.596551
53.0,53,236.664377
15.0,15,237.842513
11.0,11,238.611937
15.0,15,239.824106
13.0,13,240.743599
22.0,22,242.258816
26.0,26,244.106833
35.0,35,246.353971
62.0,62,250.5899
40.0,40,253.730613
22.0,22,255.232864
11.0,11,255.898856
24.0,24,257.921034
25.0,25,259.603206
15.0,15,260.789561
11.0,11,261.684927
11.0,11,262.604052
22.0,22,264.272736
14.0,14,265.374616
45.0,45,269.35386
20.0,20,271.388164
15.0,15,272.627935
34.0,34,275.818182
44.0,44,279.863125
28.0,28,282.482082
16.0,16,283.750993
16.0,16,285.313207
56.0,56,290.067318
27.0,27,292.598881
25.0,25,295.035543
18.0,18,296.622583
11.0,11,297.556874
25.0,25,299.775645
15.0,15,301.05747
32.0,32,303.997014
30.0,30,306.807045
19.0,19,308.799677
9.0,9,309.729277
58.0,58,315.431787
30.0,30,318.345502
24.0,24,320.808802
19.0,19,322.584282
16.0,16,323.977012
52.0,52,329.240788
29.0,29,332.199035
51.0,51,337.218115
74.0,74,344.153161
43.0,43,348.299025
30.0,30,351.301395
14.0,14,352.633789
51.0,51,357.717072
58.0,58,363.104204
25.0,25,365.494681
11.0,11,366.607753
27.0,27,369.126319
17.0,17,370.723384
64.0,64,376.954857
17.0,17,378.635048
23.0,23,380.926023
26.0,26,383.418515
12.0,12,384.617208
22.0,22,386.776455
66.0,66,393.42381
19.0,19,395.429331
16.0,16,397.165984
52.0,52,402.24257
15.0,15,403.732032
10.0,10,404.650829
15.0,15,406.137624
29.0,29,409.2467
29.0,29,411.989531
32.0,32,415.082291
19.0,19,417.078615
56.0,56,422.759685
47.0,47,427.505134
14.0,14,428.864013
29.0,29,431.853024
55.0,55,437.48064
23.0,23,439.86972
15.0,15,441.346385
22.0,22,443.591886
54.0,54,448.838447
55.0,55,454.324592
20.0,20,456.148762
20.0,20,458.043035
13.0,13,459.228569
16.0,16,460.734955
17.0,17,462.433185
84.0,84,470.809436
21.0,21,472.732963
19.0,19,474.663506
45.0,45,479.080988
23.0,23,481.476473
13.0,13,482.924518
30.0,30,486.05408
34.0,34,489.510281
13.0,13,490.674385
57.0,57,496.279253
88.0,88,505.121207
19.0,19,507.053554
13.0,13,508.289616
36.0,36,511.592883
21.0,21,513.579188
22.0,22,515.981646
16.0,16,517.700604
104.0,104,528.295177
53.0,53,533.329093
24.0,24,535.560272
14.0,14,537.027666
20.0,20,539.096549
13.0,13,540.381171
14.0,14,541.707374
15.0,15,543.306064
23.0,23,545.570915
32.0,32,548.657587
12.0,12,549.878862
13.0,13,551.260075
43.0,43,555.550972
17.0,17,557.059055
16.0,16,558.552735
18.0,18,560.385119
17.0,17,562.412683
40.0,40,566.49377
86.0,86,574.968207
34.0,34,578.464574
30.0,30,581.186106
16.0,16,582.624063
16.0,16,584.047805
16.0,16,585.610532
34.0,34,588.686881
17.0,17,590.499978
22.0,22,592.528018
69.0,69,599.877412
43.0,43,603.967375
50.0,50,608.828662
13.0,13,610.156629
16.0,16,611.776645
13.0,13,612.968508
19.0,19,614.786201
23.0,23,617.011382
18.0,18,618.837227
27.0,27,621.47569
9.0,9,622.420512
12.0,12,623.64572
31.0,31,626.714894
13.0,13,628.14182
17.0,17,629.892168
13.0,13,631.153534
24.0,24,633.700677
13.0,13,635.013851
14.0,14,636.388678
18.0,18,638.174925
13.0,13,639.708776
33.0,33,642.628411
11.0,11,643.744816
12.0,12,644.842139
24.0,24,647.215889
38.0,38,650.747224
18.0,18,652.62508
40.0,40,656.666371
16.0,16,658.348206
16.0,16,659.971087
13.0,13,661.264323
31.0,31,664.142906
14.0,14,665.508083
37.0,37,669.126007
16.0,16,670.730713
14.0,14,672.127033
13.0,13,673.442679
13.0,13,674.85395
27.0,27,677.469319
18.0,18,679.298496
21.0,21,681.358696
29.0,29,684.289642
13.0,13,685.675275
15.0,15,687.181633
17.0,17,689.011887
131.0,131,701.244922
41.0,41,705.162949
16.0,16,706.70046
30.0,30,709.301762
20.0,20,711.199853
27.0,27,713.984465
19.0,19,715.967506
11.0,11,717.038942
73.0,73,724.219972
13.0,13,725.413853
12.0,12,726.538913
29.0,29,729.423301
17.0,17,731.110023
16.0,16,732.763668
9.0,9,733.658509
20.0,20,735.753975
61.0,61,741.334534
16.0,16,742.967052
11.0,11,744.048612
16.0,16,745.536018
17.0,17,747.310017
20.0,20,749.180357
15.0,15,750.802569
10.0,10,751.858782
25.0,25,754.320839
17.0,17,756.119186
14.0,14,757.389385
28.0,28,760.007634
49.0,49,765.075059
70.0,70,772.284838
55.0,55,777.628525
42.0,42,781.826605
22.0,22,783.942447
11.0,11,785.089982
14.0,14,786.313397
18.0,18,787.856516
17.0,17,789.63081
38.0,38,793.326427
23.0,23,795.554149
64.0,64,801.839018
38.0,38,805.462754
32.0,32,808.52691
20.0,20,810.244589
22.0,22,812.505873
85.0,85,821.1052
28.0,28,823.785309
15.0,15,825.385753
23.0,23,827.65746
13.0,13,829.089075
62.0,62,835.445958
13.0,13,836.848441
14.0,14,838.24287
18.0,18,840.030329
23.0,23,842.281214
11.0,11,843.389325
14.0,14,844.730169
83.0,83,852.779467
35.0,35,856.443366
17.0,17,858.071413
20.0,20,860.058628
73.0,73,867.159612
32.0,32,870.525327
31.0,31,873.535455
27.0,27,875.987665
191.0,191,894.351843
13.0,13,895.421979
18.0,18,897.229815
61.0,61,903.354929
18.0,18,905.074771
12.0,12,906.148174
22.0,22,908.377331
46.0,46,912.858118
45.0,45,917.343845
24.0,24,919.68657
128.0,128,932.391655
34.0,34,935.850921
17.0,17,937.451805
15.0,15,938.915177
22.0,22,941.164374
49.0,49,946.207724
69.0,69,953.033844
51.0,51,958.210788
19.0,19,960.171357
118.0,118,971.732079
24.0,24,973.926526
126.0,126,986.488483
115.0,115,997.508951
41.0,41,1001.62825
21.0,21,1003.820512
96.0,96,1013.142543
30.0,30,1016.110786
61.0,61,1022.16809
20.0,20,1023.768702
79.0,79,1031.183552
129.0,129,1044.095618
130.0,130,1057.199331
119.0,119,1068.752315
38.0,38,1072.72852
180.0,180,1090.605839
58.0,58,1096.148059
34.0,34,1099.423363
43.0,43,1103.736223
50.0,50,1108.732699
61.0,61,1114.493046
85.0,85,1122.415856
162.0,162,1138.210403
42.0,42,1141.866331
76.0,76,1149.406088
18.0,18,1151.255951
102.0,102,1161.676983
138.0,138,1175.148413
16.0,16,1176.659901
22.0,22,1178.951818
19.0,19,1180.62885
23.0,23,1182.86986
27.0,27,1185.479629
121.0,121,1197.113445
14.0,14,1198.649573
20.0,20,1200.752081
113.0,113,1211.818109
36.0,36,1215.752116
114.0,114,1227.205993
20.0,20,1229.230453
12.0,12,1230.319445
32.0,32,1233.455323
16.0,16,1235.17582
23.0,23,1237.527008
27.0,27,1240.37229
11.0,11,1241.438355
103.0,103,1251.54481
22.0,22,1253.757892
118.0,118,1265.509174
15.0,15,1266.863446
15.0,15,1268.325219
20.0,20,1270.377434
24.0,24,1272.812657
18.0,18,1274.642102
20.0,20,1276.620484
13.0,13,1278.035816
20.0,20,1279.937283
23.0,23,1282.1174
19.0,19,1283.922064
36.0,36,1287.440598
18.0,18,1289.166131
9.0,9,1290.125036
22.0,22,1292.233617
55.0,55,1297.731979
28.0,28,1300.512984
15.0,15,1301.997404
84.0,84,1309.720325
96.0,96,1319.236616
37.0,37,1322.83502
16.0,16,1324.494444
52.0,52,1329.554189
12.0,12,1330.549679
57.0,57,1336.220623
23.0,23,1338.521757
13.0,13,1339.735785
20.0,20,1341.79872
28.0,28,1344.691887
48.0,48,1349.656737
119.0,119,1361.643792
70.0,70,1368.895594
21.0,21,1370.930579
45.0,45,1375.590358
66.0,66,1382.398387
103.0,103,1392.633431
109.0,109,1403.319802
24.0,24,1405.855958
96.0,96,1415.077005
200.0,200,1434.627348
31.0,31,1437.924636
157.0,157,1453.494611
85.0,85,1461.605089
87.0,87,1469.759699
77.0,77,1477.385615
97.0,97,1487.398209
53.0,53,1492.844181
24.0,24,1495.118775
74.0,74,1502.516582
20.0,20,1504.40144
117.0,117,1515.470584
92.0,92,1524.130305
87.0,87,1532.917332
26.0,26,1535.188505
16.0,16,1536.622639
23.0,23,1538.848772
104.0,104,1549.171791
79.0,79,1557.012093
200.0,200,1576.622568
120.0,120,1589.006329
200.0,200,1608.628152
160.0,160,1623.498518
148.0,148,1638.005838
187.0,187,1656.872196
29.0,29,1659.709478
95.0,95,1669.318505
22.0,22,1671.385893
88.0,88,1680.308786
86.0,86,1688.660776
33.0,33,1691.770393
101.0,101,1702.013467
100.0,100,1712.14702
12.0,12,1713.289213
18.0,18,1715.069489
12.0,12,1716.215664
53.0,53,1721.490138
15.0,15,1723.029421
26.0,26,1725.580348
24.0,24,1728.033097
25.0,25,1730.580194
23.0,23,1732.879573
16.0,16,1734.53075
23.0,23,1736.708139
60.0,60,1742.932876
15.0,15,1744.413004
67.0,67,1750.860647
19.0,19,1752.621361
14.0,14,1754.12975
95.0,95,1763.451359
12.0,12,1764.726999
21.0,21,1766.888212
17.0,17,1768.663903
11.0,11,1769.844022
16.0,16,1771.333451
31.0,31,1774.461789
23.0,23,1776.787817
24.0,24,1779.178095
12.0,12,1780.413814
17.0,17,1782.19971
16.0,16,1783.706851
11.0,11,1784.797671
18.0,18,1786.617043
15.0,15,1788.168874
14.0,14,1789.683071
35.0,35,1793.035039
15.0,15,1794.518639
17.0,17,1796.104856
12.0,12,1797.319866
16.0,16,1798.945257
18.0,18,1800.765935
44.0,44,1805.336641
14.0,14,1806.833475
55.0,55,1812.101495
56.0,56,1818.00547
12.0,12,1819.372593
15.0,15,1820.977257
62.0,62,1826.618512
20.0,20,1828.340453
16.0,16,1829.833481
57.0,57,1835.364633
14.0,14,1836.711378
29.0,29,1839.214929
13.0,13,1840.630937
37.0,37,1844.14214
43.0,43,1848.339567
85.0,85,1856.070287
86.0,86,1864.868277
12.0,12,1866.169223
70.0,70,1872.844928
31.0,31,1875.883543
51.0,51,1880.592544
87.0,87,1888.223007
54.0,54,1893.260373
53.0,53,1898.427708
61.0,61,1904.267159
18.0,18,1905.87123
36.0,36,1909.293634
20.0,20,1911.286227
82.0,82,1919.302689
30.0,30,1921.943096
76.0,76,1929.013757
70.0,70,1935.507886
39.0,39,1939.417783
75.0,75,1946.29065
25.0,25,1948.449686
51.0,51,1953.132664
18.0,18,1954.969766
31.0,31,1957.920094
14.0,14,1959.137612
30.0,30,1961.912826
15.0,15,1963.434162
67.0,67,1970.002841
28.0,28,1972.691989
32.0,32,1975.813903
51.0,51,1980.505175
107.0,107,1990.278765
17.0,17,1991.876105
18.0,18,1993.639379
54.0,54,1998.535884
37.0,37,2001.972427
37.0,37,2005.535626
33.0,33,2008.966286
32.0,32,2012.054068
14.0,14,2013.487767
64.0,64,2019.641482
24.0,24,2021.963572
13.0,13,2023.188054
15.0,15,2024.56513
65.0,65,2030.706895
27.0,27,2033.409249
18.0,18,2035.199494
84.0,84,2043.582553
103.0,103,2053.091915
100.0,100,2062.689576
119.0,119,2073.546891
112.0,112,2084.498788
121.0,121,2096.350209
105.0,105,2106.389709
101.0,101,2116.60073
102.0,102,2126.443972
97.0,97,2135.783931
108.0,108,2145.871241
111.0,111,2156.631626
106.0,106,2167.156942
100.0,100,2176.874373
74.0,74,2183.998968
90.0,90,2192.797908
