% time spent exploring,episodes,mean 100 episode reward,steps
92,100,24.7,2447
82,200,29.8,5423
74,300,25.0,7918
67,400,20.9,10012
59,500,24.3,12442
45,600,42.7,16714
33,700,37.2,20435
13,800,59.4,26380
2,900,101.4,36525
2,1000,95.5,46071
2,1100,89.1,54981
2,1200,75.3,62515
2,1300,108.6,73373
2,1400,121.4,85514
2,1500,121.9,97702
2,1600,81.0,105807
2,1700,66.2,112426
2,1800,68.2,119244
2,1900,121.3,131375
2,2000,128.7,144246
2,2100,70.4,151287
2,2200,123.6,163652
2,2300,116.1,175262
2,2400,73.4,182607
2,2500,70.9,189696
2,2600,127.8,202475
2,2700,128.2,215299
2,2800,122.9,227587
2,2900,98.6,237443
2,3000,83.8,245823
2,3100,95.8,255407
2,3200,67.1,262116
2,3300,82.1,270328
2,3400,92.5,279577
2,3500,116.7,291250
2,3600,75.9,298844
