# {"t_start": 1599229880.7204678, "env_id": "CartPole-v0"} 
r,l,t
23.0,23,33.045953
11.0,11,33.078126
18.0,18,33.136647
18.0,18,33.194034
13.0,13,33.234791
22.0,22,33.292193
18.0,18,33.358064
9.0,9,33.393081
9.0,9,33.421144
25.0,25,33.510367
22.0,22,33.596977
33.0,33,33.731176
12.0,12,33.782011
13.0,13,33.838793
40.0,40,34.005136
15.0,15,34.07473
16.0,16,34.122049
24.0,24,34.187918
11.0,11,34.220326
25.0,25,34.29365
16.0,16,34.343971
31.0,31,34.441139
43.0,43,34.569014
19.0,19,34.641478
21.0,21,34.720177
16.0,16,34.767195
33.0,33,34.873417
15.0,15,34.928895
28.0,28,35.015934
40.0,40,35.139352
13.0,13,35.178471
27.0,27,35.267804
24.0,24,35.349402
25.0,25,35.455738
13.0,13,35.51081
40.0,40,35.672259
56.0,56,35.857781
14.0,14,35.901523
29.0,29,35.99089
15.0,15,36.04034
12.0,12,36.078008
20.0,20,36.145361
14.0,14,36.203209
13.0,13,36.245034
16.0,16,36.305898
15.0,15,36.362144
11.0,11,36.410868
21.0,21,38.408258
14.0,14,39.337665
33.0,33,41.295432
17.0,17,42.093857
13.0,13,42.860063
13.0,13,43.663228
10.0,10,44.323181
24.0,24,45.687202
11.0,11,46.391727
25.0,25,48.046488
32.0,32,49.867481
16.0,16,50.911288
14.0,14,51.780216
31.0,31,53.765615
13.0,13,54.711631
16.0,16,55.715621
11.0,11,56.430509
48.0,48,59.346982
21.0,21,60.621491
40.0,40,63.046038
20.0,20,64.36962
33.0,33,66.495721
9.0,9,66.985358
23.0,23,68.475187
18.0,18,69.519856
14.0,14,70.398986
35.0,35,72.656365
13.0,13,73.475701
18.0,18,74.454114
11.0,11,75.146792
21.0,21,76.60332
14.0,14,77.507697
28.0,28,79.116512
18.0,18,80.305272
30.0,30,82.308014
16.0,16,83.157966
33.0,33,85.279911
9.0,9,85.941916
12.0,12,86.723674
29.0,29,88.646898
28.0,28,90.457051
10.0,10,91.132315
27.0,27,92.82511
26.0,26,94.645932
17.0,17,95.688478
25.0,25,97.282101
16.0,16,98.197334
11.0,11,98.822572
17.0,17,99.869275
10.0,10,100.523709
13.0,13,101.305181
19.0,19,102.449507
33.0,33,104.517231
12.0,12,105.314363
19.0,19,106.595739
30.0,30,108.446784
24.0,24,109.847296
13.0,13,110.631598
30.0,30,112.433867
14.0,14,113.32313
11.0,11,114.039806
14.0,14,114.830306
23.0,23,116.238388
17.0,17,117.384001
11.0,11,118.094644
16.0,16,118.906483
11.0,11,119.564074
36.0,36,121.669376
11.0,11,122.350941
22.0,22,123.787295
15.0,15,124.710058
17.0,17,125.717533
27.0,27,127.357537
37.0,37,129.60669
14.0,14,130.523562
23.0,23,131.968098
32.0,32,133.991574
26.0,26,135.652348
12.0,12,136.295378
20.0,20,137.612588
28.0,28,139.417946
70.0,70,143.595659
14.0,14,144.481656
10.0,10,145.093361
11.0,11,145.761092
18.0,18,146.819987
42.0,42,149.616431
15.0,15,150.531009
17.0,17,151.505586
30.0,30,153.299606
12.0,12,154.059548
18.0,18,155.151623
35.0,35,157.116701
17.0,17,158.17569
11.0,11,158.838038
16.0,16,159.740033
18.0,18,160.868088
29.0,29,162.739239
14.0,14,163.617503
20.0,20,164.838463
17.0,17,165.899578
45.0,45,168.696111
11.0,11,169.354042
16.0,16,170.357002
57.0,57,174.036716
25.0,25,175.510388
25.0,25,177.110589
41.0,41,179.556856
39.0,39,182.093884
23.0,23,183.617935
11.0,11,184.354573
11.0,11,185.043169
19.0,19,186.258981
14.0,14,187.191412
12.0,12,187.951108
29.0,29,189.720195
19.0,19,190.95558
16.0,16,191.981367
13.0,13,192.646147
18.0,18,193.764213
29.0,29,195.698488
15.0,15,196.677219
9.0,9,197.326349
20.0,20,198.774157
19.0,19,199.890338
24.0,24,201.359217
59.0,59,205.121867
19.0,19,206.308896
17.0,17,207.377907
20.0,20,208.57406
79.0,79,213.372682
21.0,21,214.761549
27.0,27,216.549315
21.0,21,217.99126
12.0,12,218.613818
15.0,15,219.455485
17.0,17,220.468073
53.0,53,223.761752
13.0,13,224.455487
14.0,14,225.325589
24.0,24,226.905009
67.0,67,231.390981
11.0,11,232.045043
89.0,89,237.366147
30.0,30,239.247878
19.0,19,240.436935
18.0,18,241.689224
14.0,14,242.540649
17.0,17,243.58091
27.0,27,245.392483
51.0,51,248.792276
19.0,19,250.026715
62.0,62,253.846083
21.0,21,255.168682
39.0,39,257.928965
27.0,27,259.610189
22.0,22,261.161051
45.0,45,264.118115
30.0,30,266.039526
21.0,21,267.312069
15.0,15,268.204617
20.0,20,269.377641
38.0,38,271.771017
13.0,13,272.582488
24.0,24,274.009858
20.0,20,275.264693
27.0,27,276.996755
55.0,55,280.573622
26.0,26,282.292447
60.0,60,286.194792
55.0,55,289.318863
41.0,41,291.641315
43.0,43,294.477935
48.0,48,297.258667
16.0,16,298.183252
67.0,67,302.443662
34.0,34,304.538238
22.0,22,305.946368
34.0,34,308.101533
31.0,31,309.79919
15.0,15,310.564608
25.0,25,312.185063
20.0,20,313.415138
19.0,19,314.556887
46.0,46,317.376056
16.0,16,318.305889
41.0,41,320.795837
21.0,21,322.234666
44.0,44,324.893867
15.0,15,325.791138
11.0,11,326.348049
41.0,41,328.890862
34.0,34,331.00247
22.0,22,332.262292
16.0,16,333.284836
47.0,47,336.329463
12.0,12,337.135377
17.0,17,338.163794
44.0,44,340.592907
42.0,42,343.257553
21.0,21,344.583334
12.0,12,345.32518
94.0,94,351.22208
21.0,21,352.63049
13.0,13,353.500867
13.0,13,354.341335
15.0,15,355.291078
53.0,53,358.815943
27.0,27,360.563565
43.0,43,363.349805
24.0,24,364.879683
16.0,16,365.827495
55.0,55,369.155676
29.0,29,370.990365
27.0,27,372.594325
26.0,26,374.224653
25.0,25,375.908417
14.0,14,376.790544
12.0,12,377.52107
45.0,45,380.280217
16.0,16,381.215986
33.0,33,383.120777
13.0,13,384.020576
109.0,109,390.858222
14.0,14,391.825572
12.0,12,392.505954
35.0,35,394.613894
32.0,32,396.524308
30.0,30,398.427594
56.0,56,401.944963
54.0,54,405.085963
35.0,35,407.30193
22.0,22,408.879388
11.0,11,409.429829
13.0,13,410.224751
17.0,17,411.257764
53.0,53,414.457622
42.0,42,416.952513
23.0,23,418.309501
56.0,56,421.82845
19.0,19,423.030791
9.0,9,423.670706
41.0,41,426.170468
14.0,14,426.98071
20.0,20,428.256986
16.0,16,429.297295
11.0,11,429.980857
10.0,10,430.591332
74.0,74,435.307238
14.0,14,436.192159
54.0,54,439.589649
28.0,28,441.342238
16.0,16,442.36913
23.0,23,443.643674
10.0,10,444.076397
33.0,33,446.076854
17.0,17,447.044959
27.0,27,448.597536
22.0,22,449.984887
37.0,37,451.974842
9.0,9,452.495499
24.0,24,454.00609
12.0,12,454.856694
17.0,17,455.988081
24.0,24,457.429712
37.0,37,459.703386
14.0,14,460.654113
9.0,9,461.231619
42.0,42,463.721814
27.0,27,465.371979
53.0,53,468.580917
17.0,17,469.640912
32.0,32,471.566186
15.0,15,472.427323
21.0,21,473.504586
61.0,61,477.514685
14.0,14,478.325232
37.0,37,480.731946
12.0,12,481.44904
10.0,10,481.992298
12.0,12,482.707357
9.0,9,483.233517
32.0,32,485.172049
14.0,14,486.105098
31.0,31,487.964066
19.0,19,488.927968
13.0,13,489.645393
11.0,11,490.224814
14.0,14,491.153796
15.0,15,492.134153
12.0,12,492.930609
14.0,14,493.832084
15.0,15,494.658004
12.0,12,495.329448
15.0,15,496.352543
28.0,28,498.337306
15.0,15,499.258353
32.0,32,501.379155
12.0,12,502.131061
14.0,14,503.132646
16.0,16,504.075518
44.0,44,506.967543
31.0,31,508.944706
17.0,17,510.043168
21.0,21,511.321891
32.0,32,513.330348
64.0,64,517.112192
33.0,33,519.182947
33.0,33,521.224054
20.0,20,522.423592
16.0,16,523.396055
10.0,10,524.023994
16.0,16,525.03255
41.0,41,527.606302
23.0,23,529.170295
11.0,11,529.968385
25.0,25,531.373375
10.0,10,531.981045
36.0,36,534.178588
10.0,10,534.762126
24.0,24,536.2453
16.0,16,537.121872
43.0,43,539.785313
35.0,35,542.049491
32.0,32,544.124734
18.0,18,545.35826
17.0,17,546.409526
23.0,23,547.777851
14.0,14,548.668524
27.0,27,550.427055
52.0,52,554.204083
11.0,11,554.961553
19.0,19,556.131167
25.0,25,557.807669
23.0,23,559.236807
13.0,13,559.981873
40.0,40,562.419144
15.0,15,563.345494
28.0,28,565.160478
11.0,11,565.866788
12.0,12,566.647909
35.0,35,568.921522
24.0,24,570.346679
11.0,11,571.0013
17.0,17,572.018235
12.0,12,572.778772
15.0,15,573.734786
19.0,19,574.929121
23.0,23,576.155463
30.0,30,577.913055
10.0,10,578.519149
37.0,37,580.788965
17.0,17,581.786235
12.0,12,582.502188
16.0,16,583.446482
18.0,18,584.59077
14.0,14,585.549362
14.0,14,586.315894
19.0,19,587.601798
12.0,12,588.3638
12.0,12,589.098726
13.0,13,589.895591
15.0,15,590.761747
19.0,19,591.932681
20.0,20,593.031585
33.0,33,594.922467
27.0,27,596.565029
13.0,13,597.759421
30.0,30,599.520558
28.0,28,601.295187
13.0,13,602.056715
53.0,53,605.520421
21.0,21,606.878245
17.0,17,607.816022
22.0,22,609.376431
16.0,16,610.354082
35.0,35,612.418425
14.0,14,613.415668
14.0,14,614.322093
19.0,19,615.532144
23.0,23,617.080289
20.0,20,618.353607
17.0,17,619.359074
14.0,14,620.186113
24.0,24,621.497541
11.0,11,621.985401
9.0,9,622.48992
17.0,17,623.570895
15.0,15,624.374161
9.0,9,624.873551
18.0,18,625.805521
14.0,14,626.804899
19.0,19,628.148404
19.0,19,629.412939
49.0,49,632.688576
11.0,11,633.460007
19.0,19,634.694132
19.0,19,635.87009
61.0,61,639.596551
15.0,15,640.553908
25.0,25,642.092788
12.0,12,642.851374
24.0,24,644.453808
11.0,11,645.161243
13.0,13,645.930467
33.0,33,647.826108
52.0,52,651.280431
13.0,13,652.132726
12.0,12,652.800081
21.0,21,654.13014
21.0,21,655.27195
17.0,17,656.316194
53.0,53,659.288036
27.0,27,660.913111
16.0,16,661.798958
16.0,16,662.798294
100.0,100,669.029002
48.0,48,672.204015
30.0,30,673.971343
41.0,41,676.573575
16.0,16,677.577899
112.0,112,683.975003
15.0,15,684.930354
18.0,18,685.985577
51.0,51,689.080359
29.0,29,690.861862
23.0,23,692.327034
12.0,12,693.200866
19.0,19,694.327378
38.0,38,696.759619
13.0,13,697.535626
17.0,17,698.812535
31.0,31,700.67367
16.0,16,701.61202
49.0,49,704.935332
10.0,10,705.582982
12.0,12,706.339569
58.0,58,709.973186
12.0,12,710.719738
10.0,10,711.246039
12.0,12,712.016599
10.0,10,712.67723
12.0,12,713.389528
30.0,30,715.269243
16.0,16,716.175785
14.0,14,716.971851
36.0,36,718.999469
