% time spent exploring,episodes,mean 100 episode reward,steps
94,100,22.1,2184
87,200,27.8,4965
80,300,30.6,8024
74,400,23.5,10372
67,500,29.7,13343
57,600,39.9,17334
50,700,29.6,20290
39,800,44.0,24692
26,900,53.6,30048
8,1000,72.1,37261
2,1100,112.0,48459
2,1200,120.5,60507
2,1300,88.9,69398
2,1400,107.8,80176
2,1500,179.1,98089
2,1600,135.9,111678
2,1700,180.9,129772
2,1800,194.5,149225
2,1900,184.8,167703
2,2000,195.7,187272
2,2100,176.1,204886
2,2200,189.2,223811
2,2300,200.0,243811
2,2400,199.2,263733
2,2500,196.9,283421
2,2600,176.2,301037
2,2700,200.0,321037
2,2800,194.9,340530
2,2900,144.8,355008
2,3000,159.3,370937
2,3100,199.7,390907
