# {"t_start": 1593740660.3291495, "env_id": "CartPole-v0"} 
r,l,t
19.0,19,12.651451
42.0,42,12.748712
30.0,30,12.819738
16.0,16,12.85549
17.0,17,12.901163
14.0,14,12.93153
13.0,13,12.963557
11.0,11,12.990001
12.0,12,13.017007
40.0,40,13.061616
61.0,61,13.13204
14.0,14,13.150417
12.0,12,13.166844
15.0,15,13.188255
12.0,12,13.204686
16.0,16,13.227126
11.0,11,13.242093
20.0,20,13.297821
16.0,16,13.344739
12.0,12,13.372476
19.0,19,13.413672
14.0,14,13.448681
20.0,20,13.494082
19.0,19,13.537535
38.0,38,13.623114
27.0,27,13.684556
15.0,15,13.71556
30.0,30,13.785161
13.0,13,13.81624
14.0,14,13.852908
14.0,14,13.882562
19.0,19,13.92863
12.0,12,13.956448
21.0,21,14.008554
16.0,16,14.046419
21.0,21,14.092388
15.0,15,14.125238
40.0,40,14.214206
64.0,64,14.334453
10.0,10,14.350086
28.0,28,14.412156
21.0,21,14.458641
31.0,31,14.52303
11.0,11,14.550078
16.0,16,14.59612
18.0,18,14.633059
10.0,10,14.656128
34.0,34,15.332977
17.0,17,15.478693
17.0,17,15.628751
16.0,16,15.744155
46.0,46,16.214968
17.0,17,16.393815
18.0,18,16.539592
14.0,14,16.663737
13.0,13,16.760976
9.0,9,16.830452
19.0,19,17.026982
15.0,15,17.175307
22.0,22,17.397372
21.0,21,17.542436
46.0,46,18.026149
24.0,24,18.203929
14.0,14,18.315542
18.0,18,18.473254
23.0,23,18.690706
16.0,16,18.855598
17.0,17,19.029171
13.0,13,19.123565
27.0,27,19.298257
14.0,14,19.387814
20.0,20,19.598065
25.0,25,19.854777
32.0,32,20.223295
16.0,16,20.394119
11.0,11,20.472726
48.0,48,20.894182
11.0,11,21.003776
22.0,22,21.217988
45.0,45,21.661502
32.0,32,21.945341
28.0,28,22.193705
16.0,16,22.32688
9.0,9,22.4008
14.0,14,22.526876
9.0,9,22.620492
10.0,10,22.718254
30.0,30,23.054477
38.0,38,23.445669
21.0,21,23.669385
23.0,23,23.902712
25.0,25,24.154304
15.0,15,24.310542
22.0,22,24.539364
17.0,17,24.715203
31.0,31,24.946142
13.0,13,25.009796
27.0,27,25.13848
16.0,16,25.295813
10.0,10,25.3978
26.0,26,25.67158
18.0,18,25.850187
31.0,31,26.191652
30.0,30,26.502532
17.0,17,26.693511
32.0,32,26.998334
16.0,16,27.182396
17.0,17,27.356025
34.0,34,27.766323
19.0,19,27.974276
22.0,22,28.213239
56.0,56,28.82205
11.0,11,28.919401
21.0,21,29.063625
13.0,13,29.16907
30.0,30,29.41521
28.0,28,29.632669
50.0,50,30.051293
16.0,16,30.183707
39.0,39,30.497514
10.0,10,30.606861
35.0,35,30.96887
41.0,41,31.404538
16.0,16,31.563241
21.0,21,31.731846
16.0,16,31.859677
48.0,48,32.385424
81.0,81,33.135726
23.0,23,33.321083
23.0,23,33.527381
36.0,36,33.894603
22.0,22,34.120319
17.0,17,34.302208
11.0,11,34.424838
33.0,33,34.80224
32.0,32,35.151173
16.0,16,35.319587
20.0,20,35.523478
58.0,58,35.969896
10.0,10,36.036393
33.0,33,36.34888
16.0,16,36.520069
16.0,16,36.726496
20.0,20,36.969984
33.0,33,37.333494
13.0,13,37.513129
20.0,20,37.686998
