# {"t_start": 1593914923.9861565, "env_id": "CartPole-v0"} 
r,l,t
25.0,25,16.887495
29.0,29,16.937794
28.0,28,16.993213
16.0,16,17.022818
15.0,15,17.048476
16.0,16,17.076481
14.0,14,17.089094
12.0,12,17.113811
24.0,24,17.150242
23.0,23,17.183115
71.0,71,17.314821
19.0,19,17.344938
36.0,36,17.3929
14.0,14,17.419652
14.0,14,17.465094
22.0,22,17.492975
18.0,18,17.524378
16.0,16,17.557013
14.0,14,17.58266
14.0,14,17.612562
30.0,30,17.663807
25.0,25,17.714936
19.0,19,17.75091
17.0,17,17.784605
19.0,19,17.823752
14.0,14,17.850138
20.0,20,17.890028
13.0,13,17.916042
20.0,20,17.954946
40.0,40,18.038456
30.0,30,18.087993
17.0,17,18.124811
47.0,47,18.222034
17.0,17,18.254158
30.0,30,18.32197
32.0,32,18.389324
16.0,16,18.416042
14.0,14,18.439801
37.0,37,18.521651
21.0,21,18.560268
10.0,10,18.574098
54.0,54,18.693807
32.0,32,20.612849
45.0,45,25.38939
19.0,19,27.379616
16.0,16,28.850152
53.0,53,34.482631
13.0,13,35.605468
41.0,41,39.766453
23.0,23,42.01318
31.0,31,44.939633
24.0,24,47.159553
49.0,49,51.62777
15.0,15,53.06359
13.0,13,54.451054
58.0,58,59.892584
23.0,23,62.071968
16.0,16,63.453061
17.0,17,64.875468
16.0,16,66.564389
9.0,9,67.40159
30.0,30,69.853683
63.0,63,75.785713
27.0,27,78.640158
83.0,83,86.378228
28.0,28,89.153155
23.0,23,91.298265
40.0,40,95.389115
10.0,10,96.168616
14.0,14,97.503574
38.0,38,101.225813
21.0,21,102.926671
30.0,30,105.89886
27.0,27,108.81633
12.0,12,109.919866
25.0,25,112.039286
30.0,30,115.01856
9.0,9,115.932054
15.0,15,117.40791
13.0,13,118.578873
15.0,15,120.055419
21.0,21,122.047818
20.0,20,123.980892
24.0,24,126.408198
20.0,20,128.528935
28.0,28,131.266288
17.0,17,132.984009
50.0,50,137.728099
