% time spent exploring,episodes,mean 100 episode reward,steps
94,100,24.7,2444
86,200,29.8,5423
80,300,24.4,7859
74,400,24.1,10269
67,500,29.1,13175
59,600,33.3,16506
53,700,25.6,19071
44,800,36.0,22672
32,900,48.0,27472
11,1000,88.0,36267
2,1100,100.3,46298
2,1200,64.3,52727
2,1300,95.9,62317
2,1400,78.5,70169
2,1500,78.1,77982
2,1600,85.2,86499
2,1700,134.7,99970
2,1800,69.1,106882
2,1900,83.5,115230
2,2000,66.6,121885
2,2100,94.9,131379
2,2200,79.3,139307
2,2300,26.8,141987
2,2400,100.2,152009
2,2500,40.4,156048
2,2600,29.5,158997
2,2700,66.4,165638
2,2800,108.9,176527
2,2900,70.4,183571
2,3000,54.2,188996
2,3100,134.5,202444
2,3200,121.5,214594
2,3300,113.7,225964
2,3400,89.1,234875
2,3500,69.1,241785
2,3600,46.7,246453
2,3700,53.8,251830
2,3800,72.1,259040
2,3900,61.6,265204
2,4000,122.3,277436
2,4100,179.1,295348
2,4200,164.3,311778
2,4300,133.5,325124
2,4400,160.6,341188
2,4500,138.9,355074
2,4600,62.5,361325
2,4700,18.5,363179
2,4800,137.5,376933
2,4900,147.5,391685
