% time spent exploring,episodes,mean 100 episode reward,steps
94,100,24.4,2413
88,200,23.4,4754
81,300,29.8,7729
74,400,25.0,10231
69,500,23.4,12570
59,600,38.6,16432
49,700,41.6,20592
43,800,26.1,23206
31,900,46.1,27812
13,1000,73.5,35158
2,1100,107.9,45948
2,1200,182.8,64224
2,1300,181.9,82411
2,1400,148.2,97230
2,1500,181.9,115424
2,1600,197.0,135121
2,1700,173.7,152495
2,1800,199.9,172485
2,1900,194.0,191890
2,2000,185.7,210456
2,2100,177.8,228231
2,2200,198.1,248043
2,2300,138.4,261879
2,2400,111.1,272985
2,2500,154.8,288469
2,2600,123.8,300853
2,2700,177.7,318623
2,2800,146.8,333306
2,2900,88.5,342158
2,3000,89.6,351115
2,3100,141.6,365275
2,3200,110.3,376301
2,3300,116.4,387939
2,3400,80.4,395976
