# {"t_start": 1598939351.7333803, "env_id": "CartPole-v0"} 
r,l,t
21.0,21,20.937388
16.0,16,20.984208
11.0,11,21.011553
41.0,41,21.123774
32.0,32,21.21103
50.0,50,21.357687
21.0,21,21.419059
40.0,40,21.541092
30.0,30,21.6107
14.0,14,21.642488
25.0,25,21.699341
12.0,12,21.73176
18.0,18,21.769914
16.0,16,21.806039
24.0,24,21.861073
34.0,34,21.94611
29.0,29,22.026948
25.0,25,22.095728
10.0,10,22.122881
16.0,16,22.166356
18.0,18,22.215095
15.0,15,22.248714
21.0,21,22.296721
33.0,33,22.369236
24.0,24,22.438857
11.0,11,22.465265
27.0,27,22.537398
16.0,16,22.580429
25.0,25,22.645485
17.0,17,22.682929
17.0,17,22.722468
28.0,28,22.784347
17.0,17,22.81943
20.0,20,22.865424
42.0,42,22.966934
11.0,11,22.99816
12.0,12,23.028753
10.0,10,23.053585
14.0,14,23.09052
41.0,41,23.188354
20.0,20,23.236928
16.0,16,23.282424
37.0,37,23.364406
26.0,26,24.273562
23.0,23,26.882409
9.0,9,28.011545
16.0,16,29.879257
35.0,35,33.643
23.0,23,36.216384
17.0,17,37.844128
14.0,14,39.418374
14.0,14,40.845534
13.0,13,42.09453
18.0,18,43.888151
16.0,16,45.433661
13.0,13,46.689541
17.0,17,48.414361
8.0,8,49.14976
52.0,52,54.140503
11.0,11,55.321407
26.0,26,57.86889
28.0,28,60.586815
11.0,11,61.722348
81.0,81,69.744778
26.0,26,72.397959
23.0,23,74.289382
17.0,17,75.756362
9.0,9,76.558627
16.0,16,78.04191
38.0,38,81.768322
12.0,12,82.798538
64.0,64,88.802631
18.0,18,90.511194
14.0,14,91.8588
28.0,28,94.326264
17.0,17,95.886086
12.0,12,97.009003
15.0,15,98.385637
19.0,19,100.113543
29.0,29,103.071853
17.0,17,104.857049
18.0,18,106.875218
16.0,16,108.741541
11.0,11,109.901178
19.0,19,111.974515
14.0,14,113.60818
18.0,18,115.38083
23.0,23,118.057878
21.0,21,120.285617
14.0,14,121.904596
12.0,12,123.155709
9.0,9,123.898267
13.0,13,125.235346
22.0,22,127.747248
16.0,16,129.601671
23.0,23,132.283347
39.0,39,137.040869
44.0,44,142.044204
14.0,14,143.548813
13.0,13,144.823547
22.0,22,147.297496
20.0,20,149.641685
11.0,11,150.937388
36.0,36,155.166273
25.0,25,158.049907
24.0,24,160.980512
