% time spent exploring,episodes,mean 100 episode reward,steps
94,100,22.5,2222
88,200,23.4,4558
81,300,30.3,7588
73,400,34.0,10988
62,500,42.3,15219
49,600,53.0,20521
36,700,55.6,26078
22,800,57.1,31786
7,900,58.2,37606
2,1000,73.4,44949
2,1100,106.7,55618
2,1200,82.7,63892
2,1300,54.5,69339
2,1400,51.5,74491
2,1500,83.3,82825
2,1600,114.2,94244
2,1700,35.0,97742
2,1800,12.4,98982
2,1900,12.6,100247
2,2000,51.7,105415
2,2100,12.6,106678
2,2200,20.5,108729
2,2300,16.8,110407
2,2400,82.1,118618
2,2500,45.4,123161
2,2600,16.8,124838
2,2700,42.5,129091
2,2800,24.6,131554
2,2900,16.0,133157
2,3000,64.7,139627
2,3100,76.7,147295
2,3200,61.1,153406
2,3300,56.6,159068
2,3400,75.6,166629
2,3500,61.4,172764
2,3600,65.8,179339
2,3700,75.2,186863
2,3800,101.5,197013
2,3900,81.4,205152
2,4000,25.7,207720
2,4100,11.6,208881
2,4200,49.8,213865
2,4300,102.8,224148
2,4400,17.6,225909
2,4500,13.7,227275
2,4600,12.3,228504
2,4700,77.2,236227
2,4800,105.7,246800
2,4900,45.5,251354
2,5000,34.4,254794
2,5100,72.3,262024
2,5200,37.4,265766
2,5300,41.5,269916
2,5400,113.9,281310
2,5500,93.3,290638
2,5600,121.6,302793
2,5700,62.4,309028
2,5800,63.2,315348
2,5900,42.1,319556
2,6000,20.0,321552
2,6100,12.8,322832
2,6200,27.0,325528
2,6300,80.1,333534
2,6400,45.4,338069
2,6500,33.7,341435
2,6600,29.0,344330
2,6700,18.7,346197
2,6800,20.5,348243
2,6900,22.5,350495
2,7000,26.9,353184
2,7100,36.4,356827
2,7200,48.3,361660
2,7300,20.5,363713
2,7400,30.9,366807
2,7500,57.9,372594
2,7600,30.6,375655
2,7700,36.6,379315
2,7800,21.1,381422
2,7900,66.6,388084
2,8000,19.1,389997
2,8100,52.4,395238
