# {"t_start": 1599061245.2933393, "env_id": "CartPole-v0"} 
r,l,t
19.0,19,17.690573
15.0,15,17.716768
37.0,37,17.794735
16.0,16,17.83591
45.0,45,17.969124
19.0,19,18.015656
16.0,16,18.048763
32.0,32,18.142345
27.0,27,18.214773
32.0,32,18.291438
23.0,23,18.334697
11.0,11,18.355872
9.0,9,18.373033
65.0,65,18.52909
19.0,19,18.580556
15.0,15,18.618597
16.0,16,18.661859
12.0,12,18.695193
21.0,21,18.750625
28.0,28,18.827977
11.0,11,18.856087
11.0,11,18.88476
9.0,9,18.908638
29.0,29,18.974086
18.0,18,19.021597
19.0,19,19.074165
50.0,50,19.205216
15.0,15,19.230522
16.0,16,19.258394
15.0,15,19.288235
16.0,16,19.325406
37.0,37,19.402688
24.0,24,19.452538
16.0,16,19.48468
10.0,10,19.504666
13.0,13,19.530257
11.0,11,19.55078
16.0,16,19.582278
14.0,14,19.616018
15.0,15,19.642952
13.0,13,19.67114
22.0,22,19.722353
13.0,13,19.746885
24.0,24,19.804423
13.0,13,19.83567
16.0,16,19.880898
22.0,22,19.940538
16.0,16,19.984075
38.0,38,24.162353
11.0,11,26.169967
29.0,29,31.507932
23.0,23,35.96373
19.0,19,39.53059
19.0,19,43.185225
25.0,25,47.9316
23.0,23,52.352657
15.0,15,55.005897
20.0,20,58.740562
12.0,12,60.8806
26.0,26,65.626422
41.0,41,73.376233
18.0,18,76.842553
26.0,26,81.636911
20.0,20,84.765139
19.0,19,87.994958
41.0,41,95.870099
12.0,12,97.956874
11.0,11,100.175815
18.0,18,103.646098
22.0,22,107.625666
28.0,28,112.95504
21.0,21,116.779593
10.0,10,118.729975
34.0,34,125.014849
37.0,37,131.695357
11.0,11,133.688194
15.0,15,136.411427
21.0,21,140.235736
10.0,10,142.125115
39.0,39,149.125985
54.0,54,159.076739
44.0,44,167.088601
15.0,15,169.898447
25.0,25,174.228224
40.0,40,181.223552
10.0,10,183.182962
16.0,16,186.127887
40.0,40,193.302455
16.0,16,196.223478
17.0,17,199.337965
12.0,12,201.5948
17.0,17,204.712975
22.0,22,208.317048
30.0,30,213.430336
29.0,29,218.802874
30.0,30,224.48647
17.0,17,227.641477
24.0,24,231.752364
9.0,9,233.349797
17.0,17,236.554485
33.0,33,242.773824
14.0,14,245.142364
15.0,15,247.835647
43.0,43,255.975691
42.0,42,263.89717
12.0,12,265.873069
16.0,16,268.788919
15.0,15,271.734731
17.0,17,274.949515
12.0,12,277.315101
19.0,19,280.98956
29.0,29,286.103335
16.0,16,288.984802
13.0,13,291.255525
37.0,37,297.665582
29.0,29,302.822743
57.0,57,312.986509
31.0,31,318.877771
10.0,10,320.700207
47.0,47,329.4538
56.0,56,340.110432
28.0,28,345.428233
15.0,15,348.299048
19.0,19,351.444995
43.0,43,359.225332
14.0,14,361.706283
33.0,33,367.549048
12.0,12,369.745906
41.0,41,377.082916
43.0,43,385.251053
15.0,15,388.261056
23.0,23,392.668744
14.0,14,395.094273
20.0,20,398.944527
13.0,13,401.347374
13.0,13,403.494031
53.0,53,413.114678
39.0,39,420.035876
26.0,26,424.686844
25.0,25,429.428127
44.0,44,437.424212
44.0,44,445.849007
14.0,14,448.350125
14.0,14,450.757699
24.0,24,454.453571
16.0,16,457.282044
23.0,23,461.751713
12.0,12,463.871975
42.0,42,470.984606
13.0,13,473.340143
24.0,24,477.698261
22.0,22,481.483824
20.0,20,485.042194
14.0,14,487.611865
42.0,42,494.08072
38.0,38,500.761544
58.0,58,510.814596
31.0,31,516.223107
14.0,14,518.683388
11.0,11,520.539189
40.0,40,527.594881
36.0,36,533.923648
25.0,25,538.022084
25.0,25,542.012517
23.0,23,545.693187
21.0,21,548.818501
54.0,54,556.997435
13.0,13,559.084857
16.0,16,561.54548
29.0,29,565.814558
47.0,47,573.021854
19.0,19,575.576524
18.0,18,577.9052
19.0,19,580.112554
57.0,57,587.830632
37.0,37,592.776769
41.0,41,597.911914
29.0,29,602.396481
35.0,35,607.578562
12.0,12,609.346544
30.0,30,613.481794
31.0,31,617.675858
30.0,30,622.723953
13.0,13,624.858406
38.0,38,631.045753
20.0,20,634.279866
16.0,16,636.828059
43.0,43,643.201776
12.0,12,645.282256
29.0,29,650.060319
16.0,16,652.637069
25.0,25,656.539242
22.0,22,660.363953
53.0,53,669.008419
12.0,12,671.039072
18.0,18,674.051286
20.0,20,677.253169
18.0,18,679.909353
33.0,33,685.31989
67.0,67,696.890231
17.0,17,699.721538
40.0,40,706.64111
20.0,20,709.75911
19.0,19,713.042227
18.0,18,715.728483
85.0,85,728.966579
9.0,9,729.900998
12.0,12,731.678582
31.0,31,735.980671
17.0,17,738.333734
39.0,39,743.717266
48.0,48,750.550768
27.0,27,754.325241
19.0,19,757.085125
20.0,20,759.973972
19.0,19,762.952615
24.0,24,766.766021
21.0,21,769.871346
25.0,25,773.395693
17.0,17,775.801635
14.0,14,777.889224
19.0,19,781.128029
23.0,23,784.956588
15.0,15,787.52208
17.0,17,790.158905
18.0,18,792.88506
29.0,29,797.85552
15.0,15,800.423449
35.0,35,806.678889
34.0,34,813.10444
55.0,55,823.570956
36.0,36,829.982899
12.0,12,832.127089
16.0,16,835.124582
65.0,65,846.841254
50.0,50,855.868532
