# {"t_start": 1590515194.8034372, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,2.244298
-200.0,200,2.348634
-200.0,200,2.452835
-200.0,200,2.557244
-200.0,200,2.677093
-200.0,200,3.298683
-200.0,200,3.795794
-200.0,200,4.275641
-200.0,200,4.807991
-200.0,200,5.293725
-200.0,200,5.790628
-200.0,200,6.372735
-200.0,200,6.909789
-200.0,200,7.421173
-200.0,200,7.918461
-200.0,200,8.414758
-200.0,200,8.886073
-200.0,200,9.344501
-200.0,200,9.772202
-200.0,200,10.239973
-200.0,200,10.755364
-200.0,200,11.185741
-200.0,200,11.707607
-200.0,200,12.186297
-200.0,200,12.651845
-200.0,200,13.218778
-200.0,200,13.755513
-200.0,200,14.219023
-200.0,200,14.765238
-200.0,200,15.274415
-200.0,200,15.72055
-200.0,200,16.230396
-200.0,200,16.78801
-200.0,200,17.300705
-200.0,200,17.831663
-200.0,200,18.340667
-200.0,200,18.779403
-200.0,200,19.252915
-200.0,200,19.756296
-200.0,200,20.247241
-200.0,200,20.753587
-200.0,200,21.282951
-200.0,200,21.769027
-200.0,200,22.270601
-200.0,200,22.788507
-200.0,200,23.251961
-200.0,200,23.718924
-200.0,200,24.200678
-200.0,200,24.661778
-200.0,200,25.208001
-200.0,200,25.732479
-200.0,200,26.156557
-200.0,200,26.666828
-200.0,200,27.273869
-200.0,200,27.840816
-200.0,200,28.405973
-200.0,200,29.012552
-200.0,200,29.594795
-200.0,200,30.173909
-200.0,200,30.747039
-200.0,200,31.411994
-200.0,200,32.027053
-200.0,200,32.529676
-200.0,200,33.127089
-200.0,200,33.77743
-200.0,200,34.392294
-200.0,200,34.987276
-200.0,200,35.622468
-200.0,200,36.234807
-200.0,200,36.844783
-200.0,200,37.362248
-200.0,200,37.982416
-200.0,200,38.572263
-200.0,200,39.162279
-200.0,200,39.695504
-200.0,200,40.417803
-200.0,200,41.005472
-200.0,200,41.658438
-200.0,200,42.250408
-200.0,200,42.860421
-200.0,200,43.375695
-200.0,200,44.0087
-200.0,200,44.531533
-200.0,200,45.149864
-200.0,200,45.78888
-200.0,200,46.420455
-200.0,200,47.009825
-200.0,200,47.638872
-200.0,200,48.282046
-200.0,200,48.815196
-200.0,200,49.380871
-200.0,200,49.891792
-200.0,200,50.465259
-200.0,200,50.977922
-200.0,200,51.575691
-200.0,200,52.146832
-200.0,200,52.808639
-200.0,200,53.342493
-200.0,200,53.884094
-200.0,200,54.599588
-200.0,200,55.234559
-200.0,200,55.86202
-200.0,200,56.489347
