% time spent exploring,episodes,mean 100 episode reward,steps
80,100,-200.0,19799
60,200,-200.0,39799
41,300,-200.0,59799
21,400,-200.0,79799
2,500,-200.0,99799
2,600,-199.2,119723
2,700,-198.3,139556
2,800,-193.2,158872
2,900,-162.7,175142
2,1000,-134.0,188544
2,1100,-189.4,207486
2,1200,-191.4,226626
2,1300,-184.7,245094
2,1400,-200.0,265094
2,1500,-191.6,284254
2,1600,-184.4,302693
2,1700,-200.0,322693
2,1800,-200.0,342693
2,1900,-200.0,362693
2,2000,-199.4,382628
2,2100,-200.0,402628
2,2200,-199.9,422617
2,2300,-200.0,442617
2,2400,-200.0,462617
2,2500,-199.9,482605
2,2600,-186.8,501288
2,2700,-196.0,520885
2,2800,-200.0,540885
2,2900,-200.0,560885
2,3000,-200.0,580885
2,3100,-200.0,600885
2,3200,-200.0,620885
2,3300,-200.0,640885
2,3400,-199.0,660789
2,3500,-196.9,680478
2,3600,-200.0,700478
2,3700,-200.0,720478
2,3800,-187.9,739271
2,3900,-194.7,758745
2,4000,-199.6,778705
2,4100,-200.0,798705
2,4200,-200.0,818705
2,4300,-200.0,838705
2,4400,-200.0,858705
2,4500,-199.4,878640
2,4600,-200.0,898640
2,4700,-200.0,918640
2,4800,-200.0,938640
2,4900,-200.0,958640
2,5000,-200.0,978640
2,5100,-200.0,998640
