# {"t_start": 1593735468.610373, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,13.444833
-200.0,200,13.844786
-200.0,200,14.284931
-200.0,200,14.783172
-200.0,200,15.273346
-200.0,200,17.818745
-200.0,200,19.70804
-200.0,200,21.734804
-200.0,200,23.766532
-200.0,200,25.461514
-200.0,200,27.015144
-200.0,200,29.050696
-200.0,200,30.740283
-200.0,200,32.680039
-200.0,200,34.5921
-200.0,200,36.251759
-200.0,200,38.086222
-200.0,200,39.743381
-200.0,200,41.72572
-200.0,200,43.685122
-200.0,200,45.465021
-200.0,200,47.357571
-200.0,200,49.04567
-200.0,200,50.822329
-200.0,200,52.522436
-200.0,200,54.448933
-200.0,200,56.300158
-200.0,200,57.833711
-200.0,200,59.63534
-200.0,200,61.54916
-200.0,200,63.644158
-200.0,200,65.326122
-200.0,200,67.105915
-200.0,200,68.614319
-200.0,200,70.499037
-200.0,200,72.136568
-200.0,200,73.911045
-200.0,200,75.76874
-200.0,200,77.743774
-200.0,200,79.728251
-200.0,200,81.643877
-200.0,200,83.408852
-200.0,200,85.247519
-200.0,200,86.929813
-200.0,200,88.928773
-200.0,200,90.878814
-200.0,200,92.871633
-200.0,200,94.803832
-200.0,200,96.793491
-200.0,200,98.899366
-200.0,200,100.651267
-200.0,200,102.450362
-200.0,200,104.441988
-200.0,200,106.300934
-200.0,200,108.305729
-200.0,200,109.937882
-200.0,200,111.853253
-200.0,200,113.829488
-200.0,200,115.776897
-200.0,200,117.533157
-200.0,200,119.379645
-200.0,200,121.24116
-200.0,200,123.184426
-200.0,200,125.050005
-200.0,200,126.829158
-200.0,200,128.788763
-200.0,200,130.661258
-200.0,200,132.47381
-200.0,200,134.105157
-200.0,200,135.559638
-200.0,200,137.361829
-200.0,200,139.061615
-200.0,200,141.057648
-200.0,200,142.811076
-200.0,200,144.543613
-200.0,200,146.402333
-200.0,200,148.612453
-200.0,200,150.535416
-200.0,200,152.654692
-200.0,200,154.659089
-200.0,200,156.595464
-200.0,200,158.449188
-200.0,200,160.321926
-200.0,200,162.245986
-200.0,200,163.945084
-200.0,200,165.307286
-200.0,200,167.137776
-200.0,200,169.192833
-200.0,200,171.147526
-200.0,200,172.644206
-200.0,200,174.656688
-200.0,200,176.568975
-200.0,200,178.58144
-200.0,200,180.528045
-200.0,200,182.676806
-200.0,200,184.480137
-200.0,200,186.09736
-200.0,200,187.734725
-200.0,200,189.609711
-200.0,200,191.645671
-200.0,200,193.931727
-200.0,200,195.677027
-200.0,200,197.502421
-200.0,200,199.443303
-200.0,200,201.416247
-200.0,200,203.32797
-200.0,200,205.142902
-200.0,200,206.970325
-200.0,200,208.984642
-200.0,200,210.98382
-200.0,200,212.79469
-200.0,200,214.408781
-200.0,200,216.003128
-200.0,200,217.691975
-200.0,200,219.642694
-200.0,200,221.299918
-200.0,200,223.008286
-200.0,200,224.956437
-200.0,200,226.829323
-200.0,200,228.582896
-200.0,200,230.413721
-200.0,200,232.157406
-200.0,200,234.040518
-200.0,200,235.869748
-200.0,200,237.542423
-200.0,200,239.509902
-200.0,200,241.424153
-200.0,200,243.261198
-200.0,200,245.196008
-200.0,200,247.171
-200.0,200,249.198328
-200.0,200,250.928486
-200.0,200,252.856836
-200.0,200,254.940133
-200.0,200,256.900256
-200.0,200,258.385129
-200.0,200,260.064971
-200.0,200,261.844278
-200.0,200,263.600082
-200.0,200,265.585419
-200.0,200,267.481301
-200.0,200,269.000761
-200.0,200,270.952625
-200.0,200,272.933017
-200.0,200,274.711554
-200.0,200,276.629529
-200.0,200,278.526921
-200.0,200,280.48969
-200.0,200,282.05208
-200.0,200,283.943613
-200.0,200,285.891768
-200.0,200,287.885938
-200.0,200,289.68148
-200.0,200,291.612202
-200.0,200,293.569061
-200.0,200,295.325544
-200.0,200,297.147562
-200.0,200,299.060124
-200.0,200,300.953136
-200.0,200,302.9051
-200.0,200,304.839035
-200.0,200,306.636176
-200.0,200,308.562139
-200.0,200,310.603091
-200.0,200,312.329422
-200.0,200,314.147819
-200.0,200,316.173624
-200.0,200,317.944896
-200.0,200,319.856861
-200.0,200,321.891255
-200.0,200,323.782279
-200.0,200,325.801126
-200.0,200,327.923342
-200.0,200,329.811975
-200.0,200,331.702467
-200.0,200,333.619361
-200.0,200,335.346516
-200.0,200,337.295707
-200.0,200,339.240703
