% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-200.0,39799
2,300,-198.3,59631
2,400,-157.5,75378
2,500,-150.5,90426
2,600,-147.0,105121
2,700,-144.3,119548
2,800,-127.3,132280
2,900,-107.6,143035
2,1000,-109.2,153956
2,1100,-109.7,164926
2,1200,-107.4,175671
2,1300,-102.8,185950
2,1400,-106.7,196622
2,1500,-107.2,207341
2,1600,-105.0,217843
2,1700,-104.5,228294
2,1800,-104.9,238780
2,1900,-103.9,249166
2,2000,-102.8,259444
2,2100,-104.0,269840
2,2200,-105.3,280367
2,2300,-104.1,290773
