# {"t_start": 1594065262.8798153, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,15.761814
-200.0,200,16.219428
-200.0,200,16.567458
-200.0,200,17.018403
-200.0,200,17.475883
-200.0,200,35.675854
-200.0,200,53.830417
-200.0,200,71.828484
-200.0,200,89.386082
-200.0,200,107.811482
-200.0,200,125.490268
-200.0,200,142.648959
-200.0,200,160.975653
-200.0,200,177.941846
-200.0,200,196.11333
-200.0,200,212.261025
-200.0,200,229.690177
-200.0,200,247.055809
-200.0,200,265.743425
-200.0,200,283.605738
-200.0,200,301.792351
-200.0,200,319.020241
-200.0,200,336.299708
-200.0,200,354.577512
-200.0,200,372.255165
-200.0,200,389.789414
-200.0,200,407.052909
-200.0,200,424.603539
-200.0,200,443.518189
-200.0,200,461.815459
-200.0,200,480.003068
-200.0,200,497.465667
-200.0,200,515.129581
-200.0,200,533.540855
-200.0,200,551.641545
-200.0,200,569.092117
-200.0,200,586.472614
-200.0,200,605.38629
-200.0,200,622.479019
-200.0,200,640.008559
-200.0,200,657.012203
-200.0,200,675.375507
-200.0,200,692.948398
-200.0,200,711.348987
-200.0,200,729.207867
-200.0,200,746.897461
-200.0,200,764.431762
-200.0,200,782.283484
-200.0,200,800.482541
-200.0,200,818.168306
-200.0,200,836.149487
-200.0,200,854.166523
-200.0,200,872.917034
-200.0,200,889.441257
-200.0,200,907.116369
-200.0,200,925.312626
-200.0,200,943.497435
-200.0,200,961.385204
-200.0,200,979.582793
-200.0,200,997.474231
-200.0,200,1015.648755
-200.0,200,1033.384355
-200.0,200,1051.928616
-200.0,200,1070.102402
-200.0,200,1087.408758
-200.0,200,1105.750613
-200.0,200,1124.692413
-200.0,200,1144.089585
-200.0,200,1162.721339
-200.0,200,1180.965664
-200.0,200,1199.684764
-200.0,200,1217.945435
-200.0,200,1236.806373
-200.0,200,1255.626292
-200.0,200,1273.763602
-200.0,200,1290.825352
-200.0,200,1308.858091
-200.0,200,1326.464656
-200.0,200,1345.287334
-200.0,200,1362.904558
-200.0,200,1380.41801
-200.0,200,1399.080814
-200.0,200,1416.853622
-200.0,200,1435.333198
-200.0,200,1453.539301
-200.0,200,1471.064031
-200.0,200,1488.307131
-200.0,200,1505.764783
-200.0,200,1524.722392
-200.0,200,1543.392263
-200.0,200,1561.140586
-200.0,200,1578.7763
-200.0,200,1597.058266
-200.0,200,1614.76897
-200.0,200,1632.271647
-200.0,200,1651.050957
-200.0,200,1668.654853
-200.0,200,1685.906953
-200.0,200,1703.135757
-200.0,200,1721.088845
-200.0,200,1739.419254
-200.0,200,1757.201778
-200.0,200,1774.498881
-200.0,200,1791.251254
-200.0,200,1808.542857
-200.0,200,1826.378515
-200.0,200,1844.166985
-200.0,200,1861.9405
-200.0,200,1879.192163
-200.0,200,1897.145223
-200.0,200,1914.451741
-200.0,200,1932.718936
-200.0,200,1949.769676
-200.0,200,1968.057719
-200.0,200,1984.462887
-200.0,200,2001.934643
-200.0,200,2018.999552
-200.0,200,2036.402301
-200.0,200,2053.529697
-200.0,200,2070.999775
-200.0,200,2089.141463
-200.0,200,2107.083457
-200.0,200,2125.145072
-200.0,200,2142.635085
-200.0,200,2160.649874
-200.0,200,2179.012493
-200.0,200,2196.020356
-200.0,200,2214.213831
-200.0,200,2232.374141
-163.0,163,2247.007446
-200.0,200,2264.072289
-200.0,200,2282.359998
-200.0,200,2301.026104
-200.0,200,2316.854011
-200.0,200,2333.766469
-200.0,200,2352.362498
-200.0,200,2369.805434
-200.0,200,2386.522456
-200.0,200,2404.281858
-200.0,200,2420.591026
-200.0,200,2437.417181
-200.0,200,2455.945348
-200.0,200,2473.978844
-200.0,200,2492.131723
-200.0,200,2509.385625
-200.0,200,2526.200317
-200.0,200,2543.882885
-94.0,94,2552.316701
-200.0,200,2568.84013
-193.0,193,2584.815269
-200.0,200,2602.819885
-200.0,200,2620.049443
-200.0,200,2637.629842
-200.0,200,2653.654553
-200.0,200,2670.602882
-200.0,200,2688.774701
-200.0,200,2706.682769
-200.0,200,2723.488545
-200.0,200,2740.452408
-200.0,200,2757.2474
-200.0,200,2774.178845
-200.0,200,2789.77806
-200.0,200,2807.692007
-200.0,200,2825.110748
-200.0,200,2842.436898
-200.0,200,2859.58176
-200.0,200,2877.050878
-200.0,200,2894.775568
-200.0,200,2911.809121
-200.0,200,2929.542906
-200.0,200,2946.115195
-200.0,200,2963.708105
-200.0,200,2981.030681
-200.0,200,2998.351587
-200.0,200,3015.31746
-200.0,200,3032.310672
-200.0,200,3049.428876
-194.0,194,3066.018817
-200.0,200,3083.307297
-189.0,189,3099.167722
-200.0,200,3117.044101
-200.0,200,3134.214941
-200.0,200,3151.283607
-200.0,200,3168.780359
-115.0,115,3178.073493
-200.0,200,3196.015543
-200.0,200,3214.527121
-200.0,200,3231.584424
-200.0,200,3248.73517
-200.0,200,3265.090035
-200.0,200,3282.85274
-200.0,200,3299.858724
-200.0,200,3317.451249
-200.0,200,3334.944521
-200.0,200,3352.31982
-200.0,200,3369.726241
-200.0,200,3386.208965
-200.0,200,3403.791983
-200.0,200,3420.829758
-200.0,200,3438.994518
-200.0,200,3455.47549
-200.0,200,3473.225915
-200.0,200,3490.608185
-174.0,174,3504.801097
-200.0,200,3522.314357
-166.0,166,3537.243542
-200.0,200,3553.772978
-200.0,200,3571.464121
-200.0,200,3589.619044
-200.0,200,3606.571349
-200.0,200,3623.92093
-107.0,107,3633.01029
-200.0,200,3649.990313
-200.0,200,3666.786972
-200.0,200,3684.089411
-200.0,200,3701.446085
-160.0,160,3715.134094
-200.0,200,3732.996362
-200.0,200,3750.630325
-200.0,200,3766.655401
-200.0,200,3784.864564
-200.0,200,3801.892125
-200.0,200,3819.335311
-200.0,200,3836.616508
-200.0,200,3852.468814
-200.0,200,3869.845371
-200.0,200,3887.301761
-200.0,200,3905.814598
-200.0,200,3924.29391
-119.0,119,3934.628245
-200.0,200,3951.455951
-200.0,200,3968.792321
-200.0,200,3986.25383
-200.0,200,4004.236343
-200.0,200,4021.194021
-200.0,200,4039.303
-200.0,200,4056.883573
-200.0,200,4074.315435
-200.0,200,4092.143806
-200.0,200,4109.520151
-200.0,200,4127.976219
-200.0,200,4145.523318
-168.0,168,4160.921519
-200.0,200,4179.21649
-200.0,200,4196.744873
-200.0,200,4214.825044
-200.0,200,4232.663092
-200.0,200,4250.459085
-200.0,200,4268.80393
-200.0,200,4286.960743
-200.0,200,4304.537119
-200.0,200,4321.876165
-200.0,200,4339.451923
-200.0,200,4357.592706
-200.0,200,4375.531411
-200.0,200,4393.809073
-200.0,200,4410.868619
-200.0,200,4428.482042
-200.0,200,4445.623897
-200.0,200,4463.459681
-200.0,200,4481.551471
-200.0,200,4498.981851
-200.0,200,4516.592767
-200.0,200,4533.572397
-200.0,200,4550.987751
-200.0,200,4569.011786
