% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19797
2,200,-200.0,39797
2,300,-172.6,57059
2,400,-160.4,73094
2,500,-150.2,88117
2,600,-121.8,100296
2,700,-125.7,112870
2,800,-143.2,127192
2,900,-122.1,139398
2,1000,-112.6,150659
2,1100,-112.4,161897
2,1200,-106.6,172557
2,1300,-106.6,183213
2,1400,-108.9,194103
2,1500,-105.5,204651
2,1600,-106.1,215258
2,1700,-105.2,225781
2,1800,-107.0,236484
2,1900,-110.7,247550
2,2000,-114.1,258962
2,2100,-106.1,269572
2,2200,-108.6,280432
2,2300,-105.5,290980
