# {"t_start": 1598579192.4463732, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,7.883358
-200.0,200,8.175883
-200.0,200,8.509561
-200.0,200,8.786817
-200.0,200,9.031792
-200.0,200,17.471203
-200.0,200,24.943888
-200.0,200,33.001508
-200.0,200,42.468708
-200.0,200,50.041677
-200.0,200,58.244787
-200.0,200,66.307036
-200.0,200,74.158193
-200.0,200,82.829253
-200.0,200,91.01842
-200.0,200,99.867902
-200.0,200,107.41689
-200.0,200,116.332239
-200.0,200,124.951538
-200.0,200,133.399365
-200.0,200,141.24983
-200.0,200,148.807091
-200.0,200,156.234949
-200.0,200,164.207932
-200.0,200,172.013415
-200.0,200,180.628543
-200.0,200,187.802019
-200.0,200,196.147741
-200.0,200,204.366559
-200.0,200,212.041312
-200.0,200,220.401936
-200.0,200,227.944288
-200.0,200,236.159619
-200.0,200,244.579026
-200.0,200,252.698313
-200.0,200,261.392481
-200.0,200,269.581367
-200.0,200,276.659902
-200.0,200,284.179544
-200.0,200,292.488902
-200.0,200,300.086967
-200.0,200,308.173442
-200.0,200,315.214624
-200.0,200,323.099311
-200.0,200,332.554497
-200.0,200,340.011223
-200.0,200,347.640501
-200.0,200,354.699262
-200.0,200,363.170407
-200.0,200,371.736303
-200.0,200,378.094011
-200.0,200,385.664518
-200.0,200,393.555758
-200.0,200,401.632459
-200.0,200,409.139648
-200.0,200,416.797271
-200.0,200,424.728024
-200.0,200,432.810962
-200.0,200,441.537691
-200.0,200,448.787414
-200.0,200,456.742309
-200.0,200,464.408575
-200.0,200,472.424143
-200.0,200,479.915532
-200.0,200,487.800152
-200.0,200,496.271279
-200.0,200,504.629076
-200.0,200,512.380624
-200.0,200,519.576413
-200.0,200,527.155473
-200.0,200,534.835745
-200.0,200,542.508626
-200.0,200,549.403822
-200.0,200,556.331631
-200.0,200,563.019626
-200.0,200,569.236476
-200.0,200,575.428581
-200.0,200,583.544002
-200.0,200,592.736063
-200.0,200,601.151126
-200.0,200,608.501319
-200.0,200,616.590944
-200.0,200,625.272892
-200.0,200,632.977573
-200.0,200,642.179201
-200.0,200,650.868419
-200.0,200,659.52132
-200.0,200,667.554824
-200.0,200,676.605642
-200.0,200,685.076694
-200.0,200,693.609521
-200.0,200,702.029798
-200.0,200,708.738042
-200.0,200,716.064345
-200.0,200,724.15846
-200.0,200,731.699573
-200.0,200,740.617845
-200.0,200,747.427923
-200.0,200,755.072825
-200.0,200,763.344945
-200.0,200,772.182366
-200.0,200,780.657
-200.0,200,788.282377
-200.0,200,795.325466
-200.0,200,803.887556
-200.0,200,811.374853
-200.0,200,819.501278
-200.0,200,828.234654
-200.0,200,835.989879
-200.0,200,843.134458
-200.0,200,851.21872
-200.0,200,859.946634
-200.0,200,867.702385
-200.0,200,877.115864
-200.0,200,884.042244
-200.0,200,892.029044
-200.0,200,900.323194
-200.0,200,908.360555
-200.0,200,917.034179
-200.0,200,925.170796
-200.0,200,932.709121
-200.0,200,939.881699
-200.0,200,947.477597
-200.0,200,955.824967
-200.0,200,963.539871
-200.0,200,971.073416
-200.0,200,979.892109
-200.0,200,988.499512
-200.0,200,997.066315
-200.0,200,1003.791275
-200.0,200,1011.603822
-200.0,200,1019.048777
-200.0,200,1026.585589
-200.0,200,1035.220439
-200.0,200,1044.032671
-200.0,200,1051.545552
-200.0,200,1059.155465
-200.0,200,1067.053602
-200.0,200,1074.777533
-200.0,200,1081.932737
-200.0,200,1090.108351
-200.0,200,1097.622575
-200.0,200,1105.561243
-200.0,200,1114.045926
-200.0,200,1122.727459
-200.0,200,1130.678547
