# {"t_start": 1598608377.9964516, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,5.954738
-200.0,200,6.147123
-200.0,200,6.348943
-200.0,200,6.559722
-200.0,200,6.798397
-200.0,200,13.596982
-200.0,200,19.466228
-200.0,200,25.973363
-200.0,200,32.268187
-200.0,200,38.538172
-200.0,200,44.549704
-200.0,200,51.056208
-200.0,200,58.261577
-200.0,200,65.588347
-200.0,200,72.101598
-200.0,200,78.368701
-200.0,200,85.386085
-200.0,200,91.572759
-200.0,200,98.110589
-200.0,200,104.981963
-200.0,200,112.311311
-200.0,200,118.738987
-200.0,200,125.345785
-200.0,200,132.147202
-200.0,200,139.035157
-200.0,200,146.253614
-200.0,200,153.114543
-200.0,200,160.306365
-200.0,200,167.601047
-200.0,200,173.834616
-200.0,200,180.845858
-200.0,200,187.781633
-200.0,200,194.323419
-200.0,200,200.771622
-200.0,200,209.02184
-200.0,200,216.224079
-200.0,200,222.978167
-200.0,200,230.270442
-200.0,200,237.251099
-200.0,200,244.419887
-200.0,200,250.977142
-200.0,200,259.008606
-200.0,200,265.419114
-200.0,200,271.933793
-200.0,200,278.16657
-200.0,200,284.224345
-200.0,200,291.219152
-200.0,200,297.981127
-200.0,200,304.080004
-200.0,200,310.301559
-200.0,200,317.322964
-200.0,200,324.791845
-200.0,200,332.143958
-200.0,200,338.716485
-200.0,200,345.619274
-200.0,200,351.989248
-200.0,200,358.090434
-200.0,200,363.672403
-200.0,200,371.547911
-200.0,200,377.764064
-200.0,200,385.550229
-200.0,200,391.789414
-200.0,200,398.963617
-200.0,200,405.338358
-200.0,200,412.405801
-200.0,200,419.52347
-200.0,200,426.771677
-200.0,200,434.210789
-200.0,200,441.386156
-200.0,200,448.668725
-200.0,200,455.467666
-200.0,200,462.146717
-200.0,200,469.63661
-200.0,200,477.338189
-200.0,200,483.984436
-200.0,200,490.478329
-200.0,200,497.456613
-200.0,200,504.239429
-200.0,200,511.167915
-200.0,200,518.784283
-200.0,200,525.394844
-200.0,200,532.810004
-200.0,200,539.772459
-200.0,200,546.468408
-200.0,200,553.572826
-200.0,200,560.957201
-200.0,200,567.983153
-200.0,200,575.409406
-200.0,200,582.698638
-200.0,200,588.787832
-200.0,200,595.768606
-200.0,200,602.924314
-200.0,200,610.596573
-200.0,200,617.372052
-200.0,200,623.922313
-200.0,200,630.653033
-200.0,200,638.195647
-200.0,200,645.013876
-200.0,200,651.414614
-200.0,200,658.790526
-200.0,200,665.468539
-200.0,200,673.00129
-200.0,200,679.815357
-200.0,200,686.609336
-200.0,200,694.885766
-200.0,200,701.42067
-200.0,200,707.822736
-200.0,200,714.90144
-200.0,200,722.483691
-200.0,200,729.70358
-200.0,200,736.611872
-200.0,200,744.259917
-200.0,200,750.613446
-200.0,200,758.383841
-200.0,200,765.937219
-200.0,200,772.940327
-200.0,200,779.758345
-200.0,200,787.109388
-200.0,200,793.620175
-200.0,200,800.685118
