% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-200.0,39799
2,300,-198.9,59690
2,400,-185.6,78245
2,500,-160.2,94261
2,600,-128.1,107075
2,700,-117.6,118833
2,800,-133.9,132219
2,900,-126.0,144824
2,1000,-111.6,155987
2,1100,-120.8,168063
2,1200,-158.9,183957
2,1300,-118.3,195784
2,1400,-108.0,206586
2,1500,-105.9,217179
2,1600,-109.8,228164
2,1700,-104.9,238658
2,1800,-104.4,249093
2,1900,-105.8,259676
2,2000,-102.0,269874
2,2100,-102.9,280165
2,2200,-103.4,290510
