% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-200.0,39799
2,300,-179.8,57781
2,400,-158.5,73631
2,500,-134.0,87026
2,600,-126.3,99659
2,700,-142.7,113926
2,800,-154.9,129420
2,900,-122.8,141699
2,1000,-107.9,152486
2,1100,-105.5,163037
2,1200,-104.9,173527
2,1300,-105.5,184081
2,1400,-106.5,194733
2,1500,-120.6,206792
2,1600,-109.8,217768
2,1700,-103.1,228080
2,1800,-105.3,238606
2,1900,-102.8,248883
2,2000,-107.0,259579
2,2100,-102.0,269777
2,2200,-108.4,280612
2,2300,-103.4,290949
