# {"t_start": 1597499854.3664184, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,10.303468
-200.0,200,10.695611
-200.0,200,11.08411
-200.0,200,11.497054
-200.0,200,11.880912
-200.0,200,19.220069
-200.0,200,26.492957
-200.0,200,33.547287
-200.0,200,40.71315
-200.0,200,47.63131
-200.0,200,54.748453
-200.0,200,61.433545
-200.0,200,68.145964
-200.0,200,74.616554
-200.0,200,81.250521
-200.0,200,87.462013
-200.0,200,94.557878
-200.0,200,101.672678
-200.0,200,109.057487
-200.0,200,116.129291
-200.0,200,123.324542
-200.0,200,130.139287
-200.0,200,137.035792
-200.0,200,144.084411
-200.0,200,150.447196
-200.0,200,157.254288
-200.0,200,164.666172
-200.0,200,171.490998
-200.0,200,178.750655
-200.0,200,185.61459
-200.0,200,192.553899
-200.0,200,199.33206
-200.0,200,205.652266
-200.0,200,212.904809
-200.0,200,220.114644
-200.0,200,227.004156
-200.0,200,233.670383
-200.0,200,240.470227
-200.0,200,247.602243
-200.0,200,254.290644
-200.0,200,261.235982
-200.0,200,267.809364
-200.0,200,275.291367
-200.0,200,282.656341
-200.0,200,289.701295
-200.0,200,297.022164
-200.0,200,303.767083
-200.0,200,311.509581
-200.0,200,318.291626
-200.0,200,324.882242
-200.0,200,331.931045
-200.0,200,338.476387
-200.0,200,345.633518
-200.0,200,351.913812
-200.0,200,358.798455
-200.0,200,365.178253
-200.0,200,372.280349
-200.0,200,379.343906
-200.0,200,386.023033
-200.0,200,392.972605
-200.0,200,400.079717
-200.0,200,406.832673
-200.0,200,414.491972
-200.0,200,421.192528
-200.0,200,427.655668
-200.0,200,433.89646
-200.0,200,440.799983
-200.0,200,448.195271
-200.0,200,454.662528
-200.0,200,461.664389
-200.0,200,468.6381
-200.0,200,475.645324
-200.0,200,482.642564
-200.0,200,489.558379
-200.0,200,496.866273
-200.0,200,503.950193
-200.0,200,510.391588
-200.0,200,517.434435
-200.0,200,524.146502
-200.0,200,530.843557
-200.0,200,538.123206
-200.0,200,545.272495
-200.0,200,552.228846
-200.0,200,559.509762
-200.0,200,566.587881
-200.0,200,573.597128
-200.0,200,580.566113
-200.0,200,587.728286
-200.0,200,594.232376
-200.0,200,601.241663
-200.0,200,608.442372
-200.0,200,615.767739
-200.0,200,622.605792
-200.0,200,629.597302
-200.0,200,636.387564
-200.0,200,642.746834
-200.0,200,649.539304
-200.0,200,655.882915
-200.0,200,662.380605
-200.0,200,669.492574
-200.0,200,676.846345
-200.0,200,684.220322
-200.0,200,691.652036
-200.0,200,698.467956
-200.0,200,705.254538
-200.0,200,712.018155
-200.0,200,718.899768
-200.0,200,726.0454
-200.0,200,733.017624
-200.0,200,740.042303
-200.0,200,747.1685
-200.0,200,754.162022
-200.0,200,760.892179
-200.0,200,767.887777
-200.0,200,775.013818
-200.0,200,782.507317
-200.0,200,789.298765
-200.0,200,796.041341
-200.0,200,802.857606
-200.0,200,809.374191
-200.0,200,816.327933
-200.0,200,823.291033
-200.0,200,830.326805
-200.0,200,836.859681
-200.0,200,844.355269
-200.0,200,851.119464
-200.0,200,857.937541
-200.0,200,864.930929
-200.0,200,871.573311
-200.0,200,878.629835
-200.0,200,885.325103
-200.0,200,892.428084
-200.0,200,899.438405
-200.0,200,906.100895
-200.0,200,912.599834
-200.0,200,919.768483
-200.0,200,925.925904
-200.0,200,932.613352
-200.0,200,939.366672
-200.0,200,945.97046
-200.0,200,952.496617
-200.0,200,959.269945
-200.0,200,965.984595
-200.0,200,971.992904
-200.0,200,978.257664
-200.0,200,984.991137
-200.0,200,991.843315
-200.0,200,999.412809
-200.0,200,1005.756999
-200.0,200,1012.407696
-200.0,200,1019.184121
-200.0,200,1025.851702
-200.0,200,1032.392185
-200.0,200,1039.046355
-200.0,200,1046.21571
-200.0,200,1052.694715
-200.0,200,1058.768289
-200.0,200,1065.772501
-200.0,200,1073.194243
-200.0,200,1080.341789
-200.0,200,1087.150588
-200.0,200,1093.988599
-200.0,200,1101.569348
-200.0,200,1109.117515
-200.0,200,1116.387144
-200.0,200,1124.088668
-200.0,200,1131.14827
-200.0,200,1138.077287
-200.0,200,1145.022452
-200.0,200,1151.444688
-200.0,200,1158.340422
-200.0,200,1164.921382
-200.0,200,1171.434302
-200.0,200,1178.208099
-200.0,200,1185.564727
-200.0,200,1192.67664
-200.0,200,1199.062814
-200.0,200,1205.691047
-200.0,200,1211.86579
-200.0,200,1218.984782
-200.0,200,1225.949402
-200.0,200,1232.643117
-200.0,200,1239.994828
-200.0,200,1246.675039
-200.0,200,1253.198395
-200.0,200,1259.703274
-200.0,200,1267.014392
-200.0,200,1274.423983
-200.0,200,1281.07799
-200.0,200,1288.086378
-200.0,200,1295.003118
-200.0,200,1301.905037
-200.0,200,1308.504972
-200.0,200,1315.48368
-185.0,185,1320.918742
-200.0,200,1326.942363
-200.0,200,1332.81181
-200.0,200,1338.501584
-200.0,200,1344.00134
-200.0,200,1349.22644
-200.0,200,1354.518945
-200.0,200,1360.119142
-200.0,200,1366.341608
-200.0,200,1373.569745
-200.0,200,1380.445187
-200.0,200,1387.757217
-200.0,200,1394.491764
-200.0,200,1401.375399
-200.0,200,1408.041624
-200.0,200,1415.561471
-200.0,200,1422.491424
-200.0,200,1429.5281
-200.0,200,1436.713255
-200.0,200,1443.351425
-200.0,200,1450.533672
-200.0,200,1457.43031
-200.0,200,1464.594681
-200.0,200,1471.950491
-200.0,200,1479.323666
-200.0,200,1486.690297
-200.0,200,1493.567036
-200.0,200,1500.471622
-200.0,200,1507.523453
-200.0,200,1514.602951
-200.0,200,1521.644035
-200.0,200,1528.286785
-200.0,200,1535.413327
-200.0,200,1542.111712
-200.0,200,1548.739092
-200.0,200,1555.893949
-200.0,200,1562.752238
-200.0,200,1569.685372
-200.0,200,1576.58235
-200.0,200,1583.085162
-200.0,200,1589.232568
-200.0,200,1596.03291
-200.0,200,1603.658351
-200.0,200,1610.97069
-200.0,200,1617.343261
-200.0,200,1624.506443
-200.0,200,1631.687046
-200.0,200,1639.097014
-200.0,200,1646.661714
-200.0,200,1654.196734
-200.0,200,1661.312585
-200.0,200,1668.846917
-200.0,200,1675.097872
-200.0,200,1682.470451
-200.0,200,1689.333292
-200.0,200,1696.274449
-200.0,200,1703.555555
-200.0,200,1710.492466
-200.0,200,1716.982087
-200.0,200,1724.108003
-200.0,200,1730.756254
-200.0,200,1737.446848
-200.0,200,1744.753101
-200.0,200,1752.132427
-200.0,200,1759.518228
-200.0,200,1766.884237
-111.0,111,1770.843068
-200.0,200,1778.290345
-200.0,200,1785.296078
-200.0,200,1792.324302
-200.0,200,1799.02395
-200.0,200,1806.062509
-200.0,200,1813.618719
-200.0,200,1820.940037
-200.0,200,1828.210111
-200.0,200,1835.932313
-200.0,200,1843.067441
-200.0,200,1850.454365
-200.0,200,1857.68167
-200.0,200,1865.061028
-200.0,200,1872.69057
-110.0,110,1876.306267
-200.0,200,1883.803395
-200.0,200,1891.228071
-200.0,200,1898.177934
-200.0,200,1905.052364
-200.0,200,1912.711
-200.0,200,1919.652357
-200.0,200,1926.308827
-200.0,200,1933.509726
-200.0,200,1940.293046
-200.0,200,1946.903924
-200.0,200,1953.867126
-200.0,200,1960.184279
-200.0,200,1967.067281
-200.0,200,1974.095902
-200.0,200,1981.409738
-200.0,200,1988.309845
-200.0,200,1994.752389
-200.0,200,2001.652218
-200.0,200,2008.491583
-200.0,200,2015.050543
-200.0,200,2022.126125
-147.0,147,2027.70674
-200.0,200,2035.005013
-200.0,200,2042.236288
-200.0,200,2048.779919
-200.0,200,2055.529831
-200.0,200,2062.588558
-200.0,200,2068.660188
-200.0,200,2075.701342
-200.0,200,2082.154272
-198.0,198,2088.871505
-135.0,135,2093.317585
-200.0,200,2099.922254
-200.0,200,2106.804701
-200.0,200,2114.263696
-200.0,200,2121.049852
-200.0,200,2128.267551
-200.0,200,2134.905653
-177.0,177,2141.173556
-200.0,200,2148.247334
-200.0,200,2155.425707
-200.0,200,2162.370556
