% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-200.0,39799
2,300,-190.4,58835
2,400,-175.8,76413
2,500,-139.6,90378
2,600,-121.2,102496
2,700,-120.4,114532
2,800,-115.3,126062
2,900,-110.6,137127
2,1000,-114.5,148579
2,1100,-107.6,159338
2,1200,-112.0,170535
2,1300,-105.1,181044
2,1400,-102.8,191327
2,1500,-108.6,202189
2,1600,-108.4,213030
2,1700,-113.9,224420
2,1800,-103.3,234753
2,1900,-108.5,245603
2,2000,-103.4,255947
2,2100,-101.7,266119
2,2200,-104.0,276515
2,2300,-103.0,286820
2,2400,-106.9,297510
