# {"t_start": 1596831466.3803182, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,7.123685
-200.0,200,7.535532
-200.0,200,7.849728
-200.0,200,8.133036
-200.0,200,8.492993
-200.0,200,16.883057
-200.0,200,24.837523
-200.0,200,34.345753
-200.0,200,45.354872
-200.0,200,56.513905
-200.0,200,67.646979
-200.0,200,80.166805
-200.0,200,92.022112
-200.0,200,103.453491
-200.0,200,115.108158
-200.0,200,126.807638
-200.0,200,138.211881
-200.0,200,150.207059
-200.0,200,162.000567
-200.0,200,173.971983
-200.0,200,186.41188
-200.0,200,198.245173
-200.0,200,209.605675
-200.0,200,220.969243
-200.0,200,232.688041
-200.0,200,244.851656
-200.0,200,256.782246
-200.0,200,267.975562
-200.0,200,278.930778
-200.0,200,290.323174
-200.0,200,302.012112
-200.0,200,313.077366
-200.0,200,323.91243
-200.0,200,335.62009
-200.0,200,346.700784
-200.0,200,358.50333
-200.0,200,370.498357
-200.0,200,380.758127
-200.0,200,392.830052
-200.0,200,404.367111
-200.0,200,416.366632
-200.0,200,428.004474
-200.0,200,439.515111
-200.0,200,450.996386
-200.0,200,462.09625
-200.0,200,473.218326
-200.0,200,484.708391
-200.0,200,496.66119
-200.0,200,507.955482
-200.0,200,519.993924
-200.0,200,532.470045
-200.0,200,545.439911
-200.0,200,556.867612
-200.0,200,568.761281
-200.0,200,579.622409
-200.0,200,591.338741
-200.0,200,603.598855
-200.0,200,615.970466
-200.0,200,628.548029
-200.0,200,639.594729
-200.0,200,651.184963
-200.0,200,662.644549
-200.0,200,673.831048
-200.0,200,685.37197
-200.0,200,697.040575
-200.0,200,708.574
-200.0,200,720.589438
-200.0,200,731.740766
-200.0,200,743.251928
-200.0,200,753.799563
-200.0,200,764.979129
-200.0,200,776.524388
-200.0,200,787.68949
-200.0,200,799.80422
-200.0,200,810.798041
-200.0,200,822.103245
-200.0,200,833.156889
-200.0,200,844.478337
-200.0,200,855.570466
-200.0,200,867.022809
-200.0,200,878.717604
-200.0,200,890.381445
-200.0,200,901.483208
-200.0,200,912.395479
-200.0,200,923.602718
-200.0,200,935.587174
-200.0,200,946.737718
-200.0,200,957.73591
-200.0,200,969.712113
-200.0,200,981.531803
-200.0,200,993.412675
-200.0,200,1004.727741
-200.0,200,1016.471208
-200.0,200,1028.208023
-200.0,200,1040.137421
-200.0,200,1051.655171
-200.0,200,1063.201577
-200.0,200,1074.673066
-200.0,200,1086.855167
-200.0,200,1098.955317
-200.0,200,1110.837915
-200.0,200,1122.82624
-200.0,200,1133.744002
-200.0,200,1145.238108
-200.0,200,1156.279244
-200.0,200,1168.434685
-200.0,200,1179.36853
-200.0,200,1191.052739
-200.0,200,1202.368062
-200.0,200,1214.498618
-200.0,200,1226.895349
-200.0,200,1238.530299
-200.0,200,1249.986364
-200.0,200,1261.381411
-200.0,200,1272.796764
-200.0,200,1284.424837
-200.0,200,1296.204087
-200.0,200,1307.486219
-200.0,200,1317.556149
-200.0,200,1329.654589
-200.0,200,1341.81914
-200.0,200,1351.787401
-200.0,200,1362.710973
-200.0,200,1373.48674
-200.0,200,1385.010983
-200.0,200,1396.383707
-200.0,200,1407.281276
-200.0,200,1419.318314
-200.0,200,1431.57134
-200.0,200,1443.373319
-200.0,200,1455.202418
-200.0,200,1466.183247
-200.0,200,1477.838614
-200.0,200,1489.236012
-200.0,200,1500.785439
-200.0,200,1512.024917
-200.0,200,1523.511567
-200.0,200,1534.977239
-200.0,200,1546.361503
-200.0,200,1558.569199
-200.0,200,1570.067135
-200.0,200,1582.069663
-200.0,200,1593.714411
-200.0,200,1604.046754
-200.0,200,1616.009758
-200.0,200,1627.497556
-200.0,200,1639.227581
-200.0,200,1650.703605
-200.0,200,1662.250678
-200.0,200,1674.110964
-200.0,200,1685.873064
-200.0,200,1697.610484
-200.0,200,1709.444398
-200.0,200,1720.520002
-200.0,200,1732.364548
-200.0,200,1744.01746
-200.0,200,1755.89258
-200.0,200,1768.297331
-200.0,200,1779.48089
-200.0,200,1791.225631
-200.0,200,1802.950824
-200.0,200,1814.361552
-200.0,200,1826.664425
-200.0,200,1839.795929
-200.0,200,1851.817946
-200.0,200,1864.055258
-200.0,200,1875.674084
-200.0,200,1887.340719
-200.0,200,1899.113521
-200.0,200,1910.359031
-200.0,200,1922.096175
-200.0,200,1933.698391
-200.0,200,1944.810256
-200.0,200,1956.557044
-200.0,200,1968.218485
-200.0,200,1979.831052
-200.0,200,1991.800204
-200.0,200,2003.099079
-172.0,172,2012.737731
-200.0,200,2023.192531
-200.0,200,2034.419596
-200.0,200,2046.431678
-200.0,200,2058.529073
-200.0,200,2069.512263
-200.0,200,2081.523079
-200.0,200,2093.326057
-200.0,200,2104.663443
-188.0,188,2114.737954
-200.0,200,2126.543771
-200.0,200,2137.760097
-200.0,200,2149.696387
-200.0,200,2160.819037
-200.0,200,2172.251119
-200.0,200,2184.296104
-200.0,200,2196.103629
-200.0,200,2207.494632
-200.0,200,2218.341944
-200.0,200,2228.598899
-200.0,200,2240.075559
-200.0,200,2251.228969
-200.0,200,2262.318185
-200.0,200,2274.352287
-200.0,200,2285.282502
-200.0,200,2297.324615
-200.0,200,2308.337618
-200.0,200,2318.823543
-200.0,200,2329.881984
-200.0,200,2341.772504
-200.0,200,2353.717729
-200.0,200,2365.492788
-200.0,200,2376.608534
-200.0,200,2387.542968
-200.0,200,2398.927487
-200.0,200,2410.887459
-200.0,200,2422.639305
-200.0,200,2433.670757
-200.0,200,2444.843828
-200.0,200,2455.673928
-200.0,200,2467.624218
-200.0,200,2479.369192
-200.0,200,2491.447988
-200.0,200,2503.640589
-200.0,200,2515.640767
-200.0,200,2526.660246
-200.0,200,2538.007274
-200.0,200,2550.179872
-200.0,200,2561.792292
-200.0,200,2573.594451
-200.0,200,2584.639446
-200.0,200,2595.782417
-200.0,200,2606.897757
-200.0,200,2617.862031
-200.0,200,2629.609504
-200.0,200,2641.567821
-200.0,200,2653.161012
-200.0,200,2665.581593
-200.0,200,2676.842365
-200.0,200,2688.634877
-200.0,200,2700.141642
-200.0,200,2711.886478
-200.0,200,2723.350856
-200.0,200,2734.754301
-200.0,200,2746.538898
-200.0,200,2758.47963
-200.0,200,2769.674848
-200.0,200,2781.653807
-200.0,200,2793.002651
-200.0,200,2804.011802
-176.0,176,2814.080409
-200.0,200,2825.191096
-200.0,200,2836.553443
-200.0,200,2847.995936
-200.0,200,2859.046639
-200.0,200,2870.614313
-200.0,200,2882.421466
-200.0,200,2893.745461
-200.0,200,2905.813248
-200.0,200,2917.443084
-200.0,200,2928.938549
-200.0,200,2940.848007
-200.0,200,2951.914482
-200.0,200,2963.870662
-200.0,200,2976.036444
-200.0,200,2987.712413
-200.0,200,2999.710542
-200.0,200,3010.744531
-200.0,200,3021.705055
-200.0,200,3033.386046
-200.0,200,3045.018262
-200.0,200,3056.075037
-200.0,200,3067.230417
