# {"t_start": 1596619837.891461, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,4.368099
-200.0,200,4.552028
-200.0,200,4.704116
-200.0,200,4.855933
-200.0,200,5.018947
-200.0,200,17.422441
-200.0,200,29.779186
-200.0,200,41.991049
-200.0,200,54.219661
-200.0,200,66.447536
-200.0,200,78.712067
-200.0,200,91.021108
-200.0,200,103.501558
-200.0,200,115.895624
-200.0,200,128.297488
-200.0,200,140.74804
-200.0,200,153.132874
-200.0,200,165.577798
-200.0,200,177.92591
-200.0,200,190.204977
-200.0,200,202.525733
-200.0,200,214.939348
-200.0,200,227.299807
-200.0,200,239.576658
-200.0,200,251.78801
-200.0,200,264.116646
-200.0,200,276.388002
-200.0,200,288.857223
-200.0,200,301.14129
-200.0,200,313.400079
-200.0,200,325.667125
-200.0,200,337.935604
-200.0,200,350.245605
-200.0,200,362.408225
-200.0,200,374.403612
-200.0,200,386.630653
-200.0,200,398.723475
-200.0,200,410.750474
-200.0,200,422.809164
-200.0,200,434.834987
-200.0,200,446.788878
-200.0,200,458.755538
-200.0,200,470.781903
-200.0,200,482.793806
-200.0,200,494.698078
-200.0,200,506.730806
-200.0,200,518.784897
-200.0,200,530.833705
-200.0,200,542.904682
-200.0,200,554.855965
-200.0,200,566.869974
-200.0,200,578.863607
-200.0,200,590.995845
-200.0,200,603.077588
-200.0,200,615.108342
-200.0,200,627.226607
-200.0,200,639.266191
-200.0,200,651.279096
-200.0,200,663.238689
-200.0,200,675.218438
-200.0,200,687.249868
-200.0,200,699.297794
-200.0,200,711.341428
-200.0,200,723.469674
-200.0,200,735.530301
-200.0,200,747.607554
-200.0,200,759.621037
-200.0,200,771.644541
-200.0,200,783.586829
-200.0,200,795.462629
-200.0,200,807.453538
-200.0,200,819.39867
-200.0,200,831.382484
-200.0,200,843.374994
-200.0,200,855.346812
-200.0,200,867.306062
-200.0,200,879.332161
-200.0,200,891.406451
-200.0,200,903.457031
-200.0,200,915.43849
-200.0,200,927.458667
-200.0,200,939.361769
-200.0,200,951.337786
-200.0,200,963.263203
-200.0,200,975.138257
-200.0,200,987.057996
-200.0,200,999.097375
-200.0,200,1011.053297
-200.0,200,1023.059559
-200.0,200,1034.97298
-200.0,200,1046.883548
-200.0,200,1058.685804
-200.0,200,1070.530865
-200.0,200,1082.39816
-200.0,200,1094.246217
-200.0,200,1106.067471
-200.0,200,1117.917746
-200.0,200,1129.871449
-200.0,200,1141.845216
-200.0,200,1153.814085
-200.0,200,1166.076954
-200.0,200,1178.046063
-200.0,200,1190.035564
-200.0,200,1201.995337
-200.0,200,1213.93929
-200.0,200,1225.802031
-200.0,200,1237.721958
-200.0,200,1249.649846
-200.0,200,1261.577385
-200.0,200,1273.393331
-200.0,200,1285.257098
-200.0,200,1297.217334
-200.0,200,1309.196687
-200.0,200,1321.126393
-200.0,200,1333.094382
-200.0,200,1345.09392
-200.0,200,1357.039228
-200.0,200,1368.979948
-200.0,200,1380.9679
-200.0,200,1392.825391
-200.0,200,1404.745611
-200.0,200,1416.633285
-200.0,200,1428.572867
-200.0,200,1440.521247
-200.0,200,1452.418535
-200.0,200,1464.384204
-200.0,200,1476.369953
-200.0,200,1488.392645
-200.0,200,1500.248704
-200.0,200,1512.097801
-200.0,200,1523.955612
-200.0,200,1535.891845
-200.0,200,1547.768764
-200.0,200,1559.642943
-200.0,200,1571.534914
-200.0,200,1583.468763
-200.0,200,1595.454754
-200.0,200,1607.523845
-200.0,200,1619.776736
-200.0,200,1632.236614
-200.0,200,1644.292801
-200.0,200,1656.302061
-200.0,200,1668.463659
-200.0,200,1680.502631
-200.0,200,1692.355124
-200.0,200,1704.32822
-200.0,200,1716.264641
-200.0,200,1728.329845
-200.0,200,1740.365219
-200.0,200,1752.31394
-200.0,200,1764.289983
-200.0,200,1776.467772
-200.0,200,1788.469177
-200.0,200,1800.553127
-200.0,200,1812.597887
-200.0,200,1824.596867
-200.0,200,1836.602504
-200.0,200,1848.565481
-200.0,200,1860.569739
-200.0,200,1872.905347
-200.0,200,1885.27072
-200.0,200,1897.622879
-200.0,200,1909.756289
-200.0,200,1922.248199
-200.0,200,1934.49659
-200.0,200,1946.799053
-200.0,200,1959.032188
-200.0,200,1971.357136
-200.0,200,1983.673795
-200.0,200,1995.822381
-200.0,200,2008.000828
-196.0,196,2019.908145
-200.0,200,2032.116499
-200.0,200,2044.391206
-200.0,200,2056.566573
-200.0,200,2068.78828
-200.0,200,2081.012596
-200.0,200,2093.166556
-200.0,200,2105.347444
-200.0,200,2117.480673
-200.0,200,2129.570735
-200.0,200,2141.66466
-200.0,200,2153.707232
-200.0,200,2165.616699
-200.0,200,2177.547733
-200.0,200,2189.521456
-200.0,200,2201.59947
-200.0,200,2213.55261
-200.0,200,2225.567119
-200.0,200,2237.582716
-200.0,200,2249.565017
-200.0,200,2261.577659
-200.0,200,2273.526659
-200.0,200,2285.469964
-200.0,200,2297.396273
-200.0,200,2309.360695
-200.0,200,2321.365215
-200.0,200,2333.426272
-200.0,200,2345.393772
-200.0,200,2357.462694
-200.0,200,2369.447628
-200.0,200,2381.508132
-200.0,200,2393.634055
-200.0,200,2405.720566
-200.0,200,2417.829246
-200.0,200,2429.867691
-200.0,200,2441.874389
-200.0,200,2453.818546
-200.0,200,2465.76087
-200.0,200,2477.755226
-200.0,200,2489.693124
-200.0,200,2501.707384
-200.0,200,2513.719129
-200.0,200,2525.804202
-200.0,200,2537.955911
-200.0,200,2549.884639
-137.0,137,2558.091637
-200.0,200,2570.062485
-200.0,200,2582.265428
-200.0,200,2594.320609
-200.0,200,2606.429127
-200.0,200,2618.498481
-200.0,200,2630.593765
-200.0,200,2642.711442
-200.0,200,2655.045825
-200.0,200,2667.197416
-200.0,200,2679.419966
-200.0,200,2691.610229
-200.0,200,2703.693961
-200.0,200,2715.85873
-200.0,200,2728.006633
-200.0,200,2740.217732
-200.0,200,2752.340163
-200.0,200,2764.294815
-159.0,159,2773.912553
-200.0,200,2785.965575
-127.0,127,2793.739065
-200.0,200,2805.794022
-200.0,200,2817.882515
-200.0,200,2829.968886
-200.0,200,2842.165768
-200.0,200,2854.273199
-200.0,200,2866.407745
-200.0,200,2878.492067
-200.0,200,2890.595501
-200.0,200,2902.69404
-200.0,200,2914.758418
-200.0,200,2926.775106
-200.0,200,2938.818602
-200.0,200,2950.837468
-200.0,200,2962.960471
-175.0,175,2973.521589
-184.0,184,2984.61674
-200.0,200,2996.697523
-200.0,200,3008.781008
-200.0,200,3020.838832
-200.0,200,3032.881806
-128.0,128,3040.576676
-200.0,200,3052.630808
-200.0,200,3064.765685
-200.0,200,3076.941911
-200.0,200,3089.049743
-200.0,200,3101.110579
-200.0,200,3113.209214
-200.0,200,3125.265655
-200.0,200,3137.382147
-200.0,200,3149.442533
-200.0,200,3161.569745
-200.0,200,3173.626673
-200.0,200,3185.653512
-200.0,200,3197.765867
-200.0,200,3209.806697
-200.0,200,3221.843777
-200.0,200,3233.881582
-200.0,200,3245.911782
-200.0,200,3257.990896
-200.0,200,3270.04518
-200.0,200,3282.200219
-200.0,200,3294.242062
-200.0,200,3306.313638
-200.0,200,3318.45153
-200.0,200,3330.517848
-200.0,200,3342.570463
-187.0,187,3353.815169
-200.0,200,3365.91484
-200.0,200,3377.952608
-176.0,176,3388.547239
-200.0,200,3400.678942
-200.0,200,3412.740608
-200.0,200,3424.769194
-200.0,200,3436.871237
-200.0,200,3448.90244
-200.0,200,3460.92093
-128.0,128,3468.591532
-200.0,200,3480.607134
-200.0,200,3492.731071
-200.0,200,3504.796967
-200.0,200,3516.821072
-200.0,200,3528.886559
-200.0,200,3541.032921
-200.0,200,3553.187141
-200.0,200,3565.265861
-122.0,122,3572.783917
-200.0,200,3584.954786
-200.0,200,3597.016212
-200.0,200,3609.09744
-200.0,200,3621.191352
-200.0,200,3633.243028
-200.0,200,3645.394538
-200.0,200,3657.401241
-200.0,200,3669.355101
-200.0,200,3681.384871
-200.0,200,3693.448635
-200.0,200,3705.528771
-200.0,200,3717.485085
-200.0,200,3729.501069
-200.0,200,3741.611413
-200.0,200,3753.702035
-156.0,156,3763.122457
-200.0,200,3775.129682
-200.0,200,3787.097621
-200.0,200,3799.199445
-129.0,129,3806.976968
-200.0,200,3818.980999
-200.0,200,3830.986844
-136.0,136,3839.218499
-200.0,200,3851.309593
-200.0,200,3863.336589
-165.0,165,3873.385585
-200.0,200,3885.432834
-200.0,200,3897.502708
-200.0,200,3909.447091
-200.0,200,3921.460531
-200.0,200,3933.467689
-200.0,200,3945.501209
-137.0,137,3953.669612
-200.0,200,3965.626652
-200.0,200,3977.669835
-133.0,133,3985.644138
-200.0,200,3997.742621
-200.0,200,4009.820225
-191.0,191,4021.246235
-151.0,151,4030.350258
-200.0,200,4042.392763
-173.0,173,4052.742046
-197.0,197,4064.532074
-200.0,200,4076.553946
-200.0,200,4088.537824
-200.0,200,4100.649888
-200.0,200,4112.758031
-200.0,200,4124.838646
-200.0,200,4136.986066
-200.0,200,4149.046304
-200.0,200,4161.180582
-183.0,183,4172.187914
-100.0,100,4178.221369
-111.0,111,4184.902697
-100.0,100,4190.884808
-200.0,200,4202.934741
-200.0,200,4215.041601
-200.0,200,4226.993678
-177.0,177,4237.625468
-200.0,200,4249.66539
-200.0,200,4261.665284
-200.0,200,4273.574316
-200.0,200,4285.65914
-97.0,97,4291.481221
-200.0,200,4303.505051
-200.0,200,4315.540518
-200.0,200,4327.482543
-200.0,200,4339.514272
-200.0,200,4351.486334
-200.0,200,4363.540836
-200.0,200,4375.494697
-200.0,200,4387.442306
-93.0,93,4393.028335
-180.0,180,4403.822203
-200.0,200,4415.85057
-200.0,200,4427.783302
-164.0,164,4437.587302
-200.0,200,4449.487049
-114.0,114,4456.343641
-200.0,200,4468.328576
-200.0,200,4480.296451
-175.0,175,4490.680935
-125.0,125,4498.242555
-167.0,167,4508.210446
-161.0,161,4517.820739
-160.0,160,4527.430824
-200.0,200,4539.407266
-200.0,200,4551.380435
-200.0,200,4563.315698
-93.0,93,4568.899208
-200.0,200,4580.907586
-101.0,101,4586.970346
-188.0,188,4598.285921
-154.0,154,4607.492117
-200.0,200,4619.387398
-162.0,162,4629.106036
-162.0,162,4638.844681
-200.0,200,4650.843647
-124.0,124,4658.289493
-103.0,103,4664.433259
-200.0,200,4676.353414
-200.0,200,4688.240858
-130.0,130,4696.030338
-196.0,196,4707.746938
-118.0,118,4714.74113
-156.0,156,4723.99701
-200.0,200,4735.989533
-136.0,136,4744.058315
-143.0,143,4752.543355
-200.0,200,4764.483761
-172.0,172,4774.780897
-200.0,200,4786.774377
-200.0,200,4798.699779
-200.0,200,4810.608791
-200.0,200,4822.572254
-200.0,200,4834.434898
-200.0,200,4846.322493
-200.0,200,4858.204258
-200.0,200,4870.066933
-200.0,200,4881.994444
-200.0,200,4893.954282
-200.0,200,4905.920295
-200.0,200,4917.860214
-200.0,200,4929.785276
-200.0,200,4941.789426
-200.0,200,4953.743156
-200.0,200,4965.717947
-200.0,200,4977.667409
-200.0,200,4989.597301
-200.0,200,5001.572492
-200.0,200,5013.630357
-200.0,200,5025.63445
-200.0,200,5037.55608
-200.0,200,5049.472324
-200.0,200,5061.495369
-200.0,200,5073.568986
-200.0,200,5085.939912
-200.0,200,5098.121752
-137.0,137,5106.419614
-200.0,200,5118.484881
-200.0,200,5130.490742
-200.0,200,5142.671334
-200.0,200,5154.800371
-200.0,200,5166.773989
-200.0,200,5178.835599
-200.0,200,5190.799326
-200.0,200,5202.772663
-200.0,200,5214.750616
-200.0,200,5226.845849
-200.0,200,5238.949667
-200.0,200,5250.91258
-200.0,200,5262.834084
-200.0,200,5274.861765
-200.0,200,5286.821638
-200.0,200,5298.747405
-167.0,167,5308.681453
-187.0,187,5319.833779
-188.0,188,5331.058005
-165.0,165,5340.929914
-200.0,200,5352.989085
-200.0,200,5364.919332
-181.0,181,5375.780352
-169.0,169,5385.819339
-175.0,175,5396.278894
-168.0,168,5406.336789
-164.0,164,5416.164139
-200.0,200,5428.098969
-200.0,200,5440.014467
-200.0,200,5451.879462
-159.0,159,5461.335919
-200.0,200,5473.215501
-168.0,168,5483.272021
-200.0,200,5495.463474
-200.0,200,5507.766281
-200.0,200,5519.832204
-149.0,149,5528.762456
-200.0,200,5540.836988
-200.0,200,5552.788526
-155.0,155,5562.054861
-147.0,147,5570.792067
-174.0,174,5581.164419
-172.0,172,5591.315501
-158.0,158,5600.758822
-147.0,147,5609.56279
-149.0,149,5618.489228
-183.0,183,5629.407311
-200.0,200,5641.384217
-152.0,152,5650.409924
-172.0,172,5660.743077
-158.0,158,5670.233945
-164.0,164,5680.078857
-165.0,165,5689.881886
-180.0,180,5700.688666
-174.0,174,5711.058498
-179.0,179,5721.733808
-152.0,152,5730.825286
-163.0,163,5740.565175
-176.0,176,5751.065386
-162.0,162,5760.736532
-162.0,162,5770.670664
-194.0,194,5782.456158
-160.0,160,5792.219244
-163.0,163,5802.088049
-162.0,162,5811.944745
-166.0,166,5821.98497
-158.0,158,5831.669271
-161.0,161,5841.589747
-162.0,162,5851.42514
-165.0,165,5861.459098
-150.0,150,5870.458223
-162.0,162,5880.14962
-159.0,159,5889.644468
-161.0,161,5899.273162
-163.0,163,5908.985799
-174.0,174,5919.366008
-158.0,158,5929.367427
-171.0,171,5940.216724
-171.0,171,5951.016228
-163.0,163,5960.766672
-156.0,156,5970.119664
-155.0,155,5979.483248
-154.0,154,5988.721017
-153.0,153,5997.932206
-147.0,147,6006.835177
-160.0,160,6016.494923
-99.0,99,6022.485567
-123.0,123,6029.893374
-88.0,88,6035.168347
-170.0,170,6045.378421
-161.0,161,6055.037895
-179.0,179,6065.738561
-198.0,198,6077.568515
-120.0,120,6084.715037
-162.0,162,6094.474291
-159.0,159,6104.006401
-154.0,154,6113.233274
-164.0,164,6122.989179
-161.0,161,6132.601028
-157.0,157,6142.011902
-157.0,157,6151.357922
-162.0,162,6161.019122
-152.0,152,6170.04798
-195.0,195,6181.660094
-147.0,147,6190.377983
-149.0,149,6199.340452
-151.0,151,6208.333766
-151.0,151,6217.39408
-200.0,200,6229.544851
-146.0,146,6238.671916
-200.0,200,6251.034848
-200.0,200,6263.208361
-162.0,162,6273.126555
-200.0,200,6285.338768
-124.0,124,6292.860443
-200.0,200,6305.103389
-159.0,159,6314.761098
-159.0,159,6324.379647
-155.0,155,6333.788128
-169.0,169,6344.199833
-118.0,118,6351.396475
-154.0,154,6360.754961
-200.0,200,6373.025634
-152.0,152,6382.640722
-196.0,196,6395.386208
-200.0,200,6407.997523
-175.0,175,6418.776538
-149.0,149,6427.95944
-200.0,200,6440.370952
-156.0,156,6450.061724
-200.0,200,6462.357712
-200.0,200,6474.634528
-200.0,200,6486.828719
-184.0,184,6498.094031
-200.0,200,6510.388954
-200.0,200,6522.747537
-200.0,200,6535.100091
-200.0,200,6547.36342
-200.0,200,6559.722099
-200.0,200,6572.014435
-200.0,200,6584.317255
-200.0,200,6596.789844
-200.0,200,6609.016023
-200.0,200,6621.316227
-200.0,200,6633.594923
-200.0,200,6645.889053
-200.0,200,6658.265723
-200.0,200,6670.997714
-200.0,200,6683.492818
-200.0,200,6696.078532
-200.0,200,6708.480537
-200.0,200,6720.975844
-200.0,200,6733.612332
-200.0,200,6746.376382
-200.0,200,6759.412087
-200.0,200,6772.074163
-200.0,200,6784.564208
-200.0,200,6797.159548
-200.0,200,6809.513285
-174.0,174,6820.512252
-200.0,200,6832.846237
-200.0,200,6845.324493
-200.0,200,6857.85549
-200.0,200,6870.537737
-180.0,180,6881.677714
-200.0,200,6894.140549
-185.0,185,6905.529945
-177.0,177,6916.473488
-134.0,134,6924.72712
-171.0,171,6935.199192
-152.0,152,6944.476311
-145.0,145,6953.410333
-200.0,200,6965.71396
-194.0,194,6977.731878
-133.0,133,6985.931278
-144.0,144,6994.821926
-182.0,182,7005.881407
-141.0,141,7014.578464
-138.0,138,7023.158519
-163.0,163,7033.188466
-200.0,200,7045.586742
-134.0,134,7053.871907
-140.0,140,7062.474293
-132.0,132,7070.590212
-143.0,143,7079.39239
-180.0,180,7090.467057
-148.0,148,7099.602124
-126.0,126,7107.320518
-128.0,128,7115.252095
-200.0,200,7127.628098
-200.0,200,7140.039745
-128.0,128,7147.910437
-122.0,122,7155.412483
-184.0,184,7166.795184
-130.0,130,7174.851607
-130.0,130,7182.921158
-125.0,125,7190.651996
-200.0,200,7203.034476
-167.0,167,7213.357566
-200.0,200,7225.759667
-195.0,195,7237.803552
-164.0,164,7247.896904
-137.0,137,7256.367026
-143.0,143,7265.149958
-200.0,200,7277.477133
-196.0,196,7289.562898
-200.0,200,7301.962221
-128.0,128,7309.837051
-159.0,159,7319.653494
-156.0,156,7329.278209
-123.0,123,7336.930936
-168.0,168,7347.341855
-200.0,200,7359.70868
-189.0,189,7371.441349
-200.0,200,7383.841858
