# {"t_start": 1597129168.8014572, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,13.361759
-200.0,200,13.810536
-200.0,200,14.260995
-200.0,200,14.689803
-200.0,200,15.073451
-200.0,200,32.2263
-200.0,200,49.449929
-200.0,200,65.90217
-200.0,200,82.674061
-200.0,200,99.308544
-200.0,200,116.240328
-200.0,200,133.768532
-200.0,200,149.284643
-200.0,200,165.014181
-200.0,200,181.640396
-200.0,200,198.722067
-200.0,200,215.776358
-200.0,200,233.343603
-200.0,200,250.315744
-200.0,200,267.518798
-200.0,200,283.709266
-200.0,200,300.382869
-200.0,200,316.523923
-200.0,200,332.513498
-200.0,200,349.702938
-200.0,200,365.775928
-200.0,200,382.962183
-200.0,200,398.903504
-200.0,200,415.975895
-200.0,200,432.826038
-200.0,200,449.305384
-200.0,200,466.294562
-200.0,200,483.398722
-200.0,200,499.6903
-200.0,200,515.532471
-200.0,200,532.431923
-200.0,200,548.51976
-200.0,200,565.293293
-200.0,200,581.356973
-200.0,200,598.279197
-200.0,200,614.746523
-200.0,200,631.745604
-200.0,200,648.332223
-200.0,200,664.533457
-200.0,200,680.308677
-200.0,200,697.233597
-200.0,200,713.3129
-200.0,200,729.790751
-200.0,200,747.321811
-200.0,200,764.164872
-200.0,200,781.242032
-200.0,200,797.477201
-200.0,200,812.609469
-200.0,200,826.120666
-200.0,200,839.238278
-200.0,200,851.626405
-200.0,200,864.294206
-200.0,200,880.329041
-200.0,200,896.255043
-200.0,200,912.426944
-200.0,200,928.047104
-200.0,200,944.77064
-200.0,200,960.568986
-200.0,200,977.166452
-200.0,200,992.673952
-200.0,200,1007.651282
-200.0,200,1023.896504
-200.0,200,1039.994173
-200.0,200,1056.005218
-200.0,200,1072.810348
-200.0,200,1089.211581
-200.0,200,1105.875007
-200.0,200,1121.723896
-200.0,200,1137.768855
-200.0,200,1153.858324
-200.0,200,1169.345615
-200.0,200,1185.460437
-200.0,200,1202.046925
-200.0,200,1216.864197
-200.0,200,1232.129687
-200.0,200,1248.329311
-200.0,200,1264.602583
-200.0,200,1279.951056
-200.0,200,1296.285829
-200.0,200,1312.284687
-200.0,200,1329.446469
-200.0,200,1344.885397
-200.0,200,1361.18382
-200.0,200,1378.024849
-200.0,200,1394.57072
-200.0,200,1411.179302
-200.0,200,1427.12645
-200.0,200,1444.035368
-200.0,200,1460.213725
-200.0,200,1477.132667
-200.0,200,1493.553381
-200.0,200,1509.226882
-200.0,200,1525.564159
-200.0,200,1541.678227
-200.0,200,1557.959688
-200.0,200,1574.942199
-200.0,200,1590.909866
-200.0,200,1606.685191
-200.0,200,1622.430965
-200.0,200,1639.181738
-200.0,200,1655.101443
-200.0,200,1672.033888
-200.0,200,1687.679126
-200.0,200,1704.948012
-200.0,200,1721.429701
-200.0,200,1737.972082
-200.0,200,1754.360685
-200.0,200,1771.086166
-200.0,200,1787.466892
-200.0,200,1803.75633
-200.0,200,1819.688182
-200.0,200,1835.716036
-200.0,200,1853.068206
-200.0,200,1868.694793
-200.0,200,1886.23784
-200.0,200,1902.733684
-200.0,200,1918.998493
-200.0,200,1935.8659
-200.0,200,1952.658994
-200.0,200,1968.705163
-200.0,200,1985.198964
-200.0,200,2001.939039
-200.0,200,2019.09034
-200.0,200,2035.299402
-200.0,200,2051.888792
-200.0,200,2068.464099
