# {"t_start": 1597293128.8653903, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,12.200304
-200.0,200,12.607295
-200.0,200,13.008091
-200.0,200,13.417296
-200.0,200,13.821902
-200.0,200,27.523085
-200.0,200,39.161351
-200.0,200,51.634523
-200.0,200,63.978674
-200.0,200,76.629701
-200.0,200,88.733481
-200.0,200,101.501914
-200.0,200,112.84392
-200.0,200,124.814212
-200.0,200,136.604704
-200.0,200,148.210691
-200.0,200,160.651322
-200.0,200,173.304269
-200.0,200,185.074657
-200.0,200,197.208758
-200.0,200,209.741913
-200.0,200,223.010407
-200.0,200,235.838822
-200.0,200,247.998641
-200.0,200,260.761657
-200.0,200,273.410275
-200.0,200,284.77577
-200.0,200,297.06274
-200.0,200,310.030884
-200.0,200,322.384955
-200.0,200,335.574624
-200.0,200,347.95209
-200.0,200,360.295313
-200.0,200,371.883057
-200.0,200,384.047847
-200.0,200,395.765752
-200.0,200,408.231473
-200.0,200,420.124542
-200.0,200,432.731309
-200.0,200,444.791247
-200.0,200,456.967493
-200.0,200,470.196501
-200.0,200,482.766397
-200.0,200,495.88728
-200.0,200,508.606709
-200.0,200,521.586233
-200.0,200,534.08639
-200.0,200,546.271008
-200.0,200,558.815175
-200.0,200,571.517769
-200.0,200,584.399543
-200.0,200,597.460696
-200.0,200,610.355209
-200.0,200,622.312688
-200.0,200,634.312866
-200.0,200,646.263951
-200.0,200,658.376328
-200.0,200,670.837952
-200.0,200,682.742088
-200.0,200,695.286042
-200.0,200,708.197402
-200.0,200,721.419268
-200.0,200,733.831627
-200.0,200,746.517635
-200.0,200,758.160094
-200.0,200,769.840749
-200.0,200,783.034902
-200.0,200,795.909962
-200.0,200,808.43387
-200.0,200,820.83829
-200.0,200,833.678125
-200.0,200,845.351331
-200.0,200,857.725061
-200.0,200,870.622911
-200.0,200,882.905201
-200.0,200,896.037459
-200.0,200,907.957994
-200.0,200,920.377093
-200.0,200,933.146606
-200.0,200,946.23042
-200.0,200,958.870107
-200.0,200,971.49114
-200.0,200,984.009497
-200.0,200,996.214496
-200.0,200,1008.300534
-200.0,200,1020.622511
-200.0,200,1032.799554
-200.0,200,1045.435499
-200.0,200,1057.792734
-200.0,200,1069.818291
-200.0,200,1081.484207
-200.0,200,1093.768838
-200.0,200,1105.063718
-200.0,200,1117.395988
-200.0,200,1129.838438
-200.0,200,1142.287125
-200.0,200,1155.669128
-197.0,197,1167.989504
-200.0,200,1179.362056
-200.0,200,1190.75704
-200.0,200,1202.904988
-200.0,200,1214.811069
-200.0,200,1226.661399
-200.0,200,1238.398278
-200.0,200,1250.58404
-200.0,200,1263.550539
-200.0,200,1275.412653
-200.0,200,1287.354132
-200.0,200,1299.534579
-200.0,200,1311.785918
-200.0,200,1323.969892
-200.0,200,1336.420951
-200.0,200,1349.589728
-200.0,200,1362.033775
-200.0,200,1374.896429
-200.0,200,1386.795392
-200.0,200,1398.701277
-200.0,200,1411.177546
-200.0,200,1423.341128
-200.0,200,1435.775462
-200.0,200,1448.146181
-200.0,200,1460.6238
-200.0,200,1473.299012
-200.0,200,1486.570589
-200.0,200,1497.547057
-200.0,200,1510.558566
-200.0,200,1524.064354
-200.0,200,1536.9928
-200.0,200,1550.012048
-200.0,200,1562.804297
-200.0,200,1575.847487
-200.0,200,1588.386227
-200.0,200,1601.533855
-200.0,200,1614.380123
-200.0,200,1627.516639
-200.0,200,1641.257486
-200.0,200,1653.907758
-200.0,200,1666.762354
-200.0,200,1679.654818
-200.0,200,1693.008993
-200.0,200,1705.097355
-200.0,200,1718.097253
-200.0,200,1730.801005
-200.0,200,1743.133488
-200.0,200,1755.48624
-200.0,200,1768.148546
-200.0,200,1780.454795
-200.0,200,1793.287699
-200.0,200,1805.401443
-200.0,200,1817.726755
-200.0,200,1830.394762
-200.0,200,1843.453129
-197.0,197,1855.257134
-200.0,200,1867.638975
-200.0,200,1880.885369
-200.0,200,1893.76746
-200.0,200,1906.089056
-200.0,200,1918.47717
-200.0,200,1931.307607
-200.0,200,1943.340978
-200.0,200,1955.619537
-200.0,200,1968.519779
-200.0,200,1980.719607
-200.0,200,1993.400607
-200.0,200,2005.789994
-200.0,200,2017.963824
-200.0,200,2030.598798
-200.0,200,2043.463184
-200.0,200,2055.452816
-200.0,200,2068.16115
-200.0,200,2081.099153
-200.0,200,2094.283392
-200.0,200,2106.614066
-200.0,200,2120.12134
-200.0,200,2133.267372
-200.0,200,2145.70841
-200.0,200,2158.646834
-200.0,200,2171.560887
-200.0,200,2184.280599
-200.0,200,2196.874395
-200.0,200,2209.303753
-200.0,200,2221.755274
-200.0,200,2234.358526
-200.0,200,2246.883359
-200.0,200,2259.720807
-200.0,200,2271.838612
-200.0,200,2284.707482
-200.0,200,2297.127415
-200.0,200,2309.818526
-200.0,200,2322.550107
-200.0,200,2336.110366
-200.0,200,2348.859919
-200.0,200,2361.011601
-200.0,200,2373.391984
-200.0,200,2386.182753
-200.0,200,2398.351216
-200.0,200,2411.067309
-200.0,200,2422.656902
-200.0,200,2435.412452
-200.0,200,2448.02291
-200.0,200,2460.547527
-200.0,200,2472.667488
-200.0,200,2485.309896
-200.0,200,2497.964353
-200.0,200,2510.31942
-200.0,200,2522.536084
-200.0,200,2535.309333
-200.0,200,2546.689662
-200.0,200,2558.820517
-200.0,200,2571.240041
-200.0,200,2583.798993
-200.0,200,2596.450086
-200.0,200,2609.386575
-200.0,200,2623.222545
-200.0,200,2636.77759
-200.0,200,2649.511326
-200.0,200,2663.850421
-200.0,200,2677.383004
-200.0,200,2689.224156
-200.0,200,2702.49678
-200.0,200,2715.698556
-200.0,200,2728.110583
-200.0,200,2740.515404
-200.0,200,2753.185579
-164.0,164,2763.878856
-200.0,200,2776.206763
-200.0,200,2789.654994
-200.0,200,2802.077398
-200.0,200,2815.621619
-200.0,200,2828.45302
-200.0,200,2840.93122
-200.0,200,2854.066247
-200.0,200,2867.349186
-200.0,200,2879.867723
-200.0,200,2892.806806
-200.0,200,2905.541605
-200.0,200,2918.255578
-200.0,200,2931.619073
-200.0,200,2943.817526
-200.0,200,2956.68538
-200.0,200,2969.796388
-200.0,200,2982.711253
-200.0,200,2995.542158
-200.0,200,3007.941352
-200.0,200,3021.491268
-200.0,200,3034.465219
-200.0,200,3047.135298
-200.0,200,3060.990475
-200.0,200,3074.235441
-200.0,200,3087.083007
-200.0,200,3100.114786
-200.0,200,3113.050565
-200.0,200,3126.227188
